State of Residence,County of Residence,Year,Births,Birth Rate,Fertility Rate
Missouri,"St. Louis city, MO",2019,3951,Not Available,Not Available
Missouri,"St. Louis city, MO",,16533,26.66,114.86
Missouri,"Unidentified Counties, MO",2016,30617,12.01,67.4
Missouri,"Unidentified Counties, MO",2017,29953,11.72,66.06
Missouri,"Unidentified Counties, MO",2018,30650,5,26.1
Missouri,"Unidentified Counties, MO",2019,29788,4.85,25.31
Missouri,"Unidentified Counties, MO",,121008,6.97,37.13
Missouri,,,293135,11.98,62.44
Montana,"Missoula County, MT",2016,1187,10.22,46.52
Montana,"Missoula County, MT",2017,1138,9.69,43.87
Montana,"Missoula County, MT",2018,1063,Not Available,Not Available
Montana,"Missoula County, MT",2019,1074,Not Available,Not Available
Montana,"Missoula County, MT",,4462,19.1,86.72
Montana,"Yellowstone County, MT",2016,1935,12.21,64.67
Montana,"Yellowstone County, MT",2017,1898,11.94,62.92
Montana,"Yellowstone County, MT",2018,1808,Not Available,Not Available
Montana,"Yellowstone County, MT",2019,1866,Not Available,Not Available
Montana,"Yellowstone County, MT",,7507,23.65,124.94
Montana,"Unidentified Counties, MT",2016,9160,11.93,69.11
Montana,"Unidentified Counties, MT",2017,8763,11.32,65.4
Montana,"Unidentified Counties, MT",2018,8642,8.14,44.7
Montana,"Unidentified Counties, MT",2019,8139,7.62,41.7
Montana,"Unidentified Counties, MT",,34704,9.45,52.98
Montana,,,46673,11.05,60.88
Nebraska,"Douglas County, NE",2016,8832,15.91,76.04
Nebraska,"Douglas County, NE",2017,8305,14.79,70.9
Nebraska,"Douglas County, NE",2018,8342,Not Available,Not Available
Nebraska,"Douglas County, NE",2019,8043,Not Available,Not Available
Nebraska,"Douglas County, NE",,33522,30.02,143.7
Nebraska,"Lancaster County, NE",2016,4019,12.98,59.75
Nebraska,"Lancaster County, NE",2017,3925,12.49,57.55
Nebraska,"Lancaster County, NE",2018,3893,Not Available,Not Available
Nebraska,"Lancaster County, NE",2019,3670,Not Available,Not Available
Nebraska,"Lancaster County, NE",,15507,24.85,114.47
Nebraska,"Sarpy County, NE",2016,2464,13.76,67.49
Nebraska,"Sarpy County, NE",2017,2589,14.27,70.17
Nebraska,"Sarpy County, NE",2018,2386,Not Available,Not Available
Nebraska,"Sarpy County, NE",2019,2446,Not Available,Not Available
Nebraska,"Sarpy County, NE",,9885,27.42,134.67
Nebraska,"Unidentified Counties, NE",2016,11274,13.06,76.05
Nebraska,"Unidentified Counties, NE",2017,11002,12.75,74.36
Nebraska,"Unidentified Counties, NE",2018,10867,5.63,29.17
Nebraska,"Unidentified Counties, NE",2019,10596,5.48,28.35
Nebraska,"Unidentified Counties, NE",,43739,7.82,41.96
Nebraska,,,102653,13.35,69.14
Nevada,"Clark County, NV",2016,27388,12.71,62.35
Nevada,"Clark County, NV",2017,26949,12.23,60.25
Nevada,"Clark County, NV",2018,26773,Not Available,Not Available
Nevada,"Clark County, NV",2019,26266,Not Available,Not Available
Nevada,"Clark County, NV",,107376,24.63,121.12
Nevada,"Washoe County, NV",2016,5387,11.88,61.17
Nevada,"Washoe County, NV",2017,5210,11.31,58.28
Nevada,"Washoe County, NV",2018,5399,Not Available,Not Available
Nevada,"Washoe County, NV",2019,5216,Not Available,Not Available
Nevada,"Washoe County, NV",,21212,23.2,119.52
Nevada,"Unidentified Counties, NV",2016,3485,10.54,66.59
Nevada,"Unidentified Counties, NV",2017,3597,10.79,68.57
Nevada,"Unidentified Counties, NV",2018,3510,1.16,5.91
Nevada,"Unidentified Counties, NV",2019,3590,1.17,5.97
Nevada,"Unidentified Counties, NV",,14182,2.09,10.9
Nevada,,,142770,11.85,60.38
New Hampshire,"Hillsborough County, NH",2016,4240,10.4,55.74
New Hampshire,"Hillsborough County, NH",2017,4178,10.2,54.79
New Hampshire,"Hillsborough County, NH",2018,4144,Not Available,Not Available
New Hampshire,"Hillsborough County, NH",2019,4135,Not Available,Not Available
New Hampshire,"Hillsborough County, NH",,16697,20.43,109.62
New Hampshire,"Merrimack County, NH",2016,1284,8.64,48.57
New Hampshire,"Merrimack County, NH",2017,1305,8.75,49.07
New Hampshire,"Merrimack County, NH",2018,1305,Not Available,Not Available
New Hampshire,"Merrimack County, NH",2019,1213,Not Available,Not Available
New Hampshire,"Merrimack County, NH",,5107,17.15,96.31
New Hampshire,"Rockingham County, NH",2016,2654,8.75,51.15
New Hampshire,"Rockingham County, NH",2017,2669,8.71,51.28
New Hampshire,"Rockingham County, NH",2018,2650,Not Available,Not Available
New Hampshire,"Rockingham County, NH",2019,2652,Not Available,Not Available
New Hampshire,"Rockingham County, NH",,10625,17.43,102.23
New Hampshire,"Strafford County, NH",2016,1211,9.5,43.54
New Hampshire,"Strafford County, NH",2017,1180,9.17,41.97
New Hampshire,"Strafford County, NH",2018,1143,Not Available,Not Available
New Hampshire,"Strafford County, NH",2019,1144,Not Available,Not Available
New Hampshire,"Strafford County, NH",,4678,18.27,83.65
New Hampshire,"Unidentified Counties, NH",2016,2878,8.28,49.04
New Hampshire,"Unidentified Counties, NH",2017,2784,7.98,47.73
New Hampshire,"Unidentified Counties, NH",2018,2753,2.03,11.26
New Hampshire,"Unidentified Counties, NH",2019,2695,1.98,10.97
New Hampshire,"Unidentified Counties, NH",,11110,3.26,18.3
New Hampshire,,,48217,8.94,49.58
New Jersey,"Atlantic County, NJ",2016,2836,10.47,56.77
New Jersey,"Atlantic County, NJ",2017,2804,10.39,56.92
New Jersey,"Atlantic County, NJ",2018,2797,Not Available,Not Available
New Jersey,"Atlantic County, NJ",2019,2839,Not Available,Not Available
New Jersey,"Atlantic County, NJ",,11276,20.85,113.65
New Jersey,"Bergen County, NJ",2016,9464,10.08,54.21
New Jersey,"Bergen County, NJ",2017,9339,9.85,53.15
New Jersey,"Bergen County, NJ",2018,9152,Not Available,Not Available
New Jersey,"Bergen County, NJ",2019,9006,Not Available,Not Available
New Jersey,"Bergen County, NJ",,36961,19.58,105.52
New Jersey,"Burlington County, NJ",2016,4419,9.84,54.9
New Jersey,"Burlington County, NJ",2017,4424,9.86,55
New Jersey,"Burlington County, NJ",2018,4365,Not Available,Not Available
New Jersey,"Burlington County, NJ",2019,4419,Not Available,Not Available
New Jersey,"Burlington County, NJ",,17627,19.63,109.53
New Jersey,"Camden County, NJ",2016,6226,12.2,62.4
New Jersey,"Camden County, NJ",2017,6022,11.79,60.32
New Jersey,"Camden County, NJ",2018,6157,Not Available,Not Available
New Jersey,"Camden County, NJ",2019,6123,Not Available,Not Available
New Jersey,"Camden County, NJ",,24528,24.03,122.88
New Jersey,"Cumberland County, NJ",2016,1876,12.2,67.25
New Jersey,"Cumberland County, NJ",2017,1839,12.06,67.13
New Jersey,"Cumberland County, NJ",2018,1917,Not Available,Not Available
New Jersey,"Cumberland County, NJ",2019,1832,Not Available,Not Available
New Jersey,"Cumberland County, NJ",,7464,24.37,135
New Jersey,"Essex County, NJ",2016,10442,13.1,63.25
New Jersey,"Essex County, NJ",2017,10298,12.74,61.6
New Jersey,"Essex County, NJ",2018,10425,Not Available,Not Available
New Jersey,"Essex County, NJ",2019,9917,Not Available,Not Available
New Jersey,"Essex County, NJ",,41082,25.59,123.64
New Jersey,"Gloucester County, NJ",2016,2837,9.7,51.22
New Jersey,"Gloucester County, NJ",2017,2891,9.89,52.35
New Jersey,"Gloucester County, NJ",2018,2762,Not Available,Not Available
New Jersey,"Gloucester County, NJ",2019,2923,Not Available,Not Available
New Jersey,"Gloucester County, NJ",,11413,19.52,103.18
New Jersey,"Hudson County, NJ",2016,10383,15.31,65.55
New Jersey,"Hudson County, NJ",2017,10165,14.7,63.11
New Jersey,"Hudson County, NJ",2018,10234,Not Available,Not Available
New Jersey,"Hudson County, NJ",2019,9975,Not Available,Not Available
New Jersey,"Hudson County, NJ",,40757,29.76,127.58
New Jersey,"Hunterdon County, NJ",2016,927,7.44,46.69
New Jersey,"Hunterdon County, NJ",2017,952,7.61,47.98
New Jersey,"Hunterdon County, NJ",2018,968,Not Available,Not Available
New Jersey,"Hunterdon County, NJ",2019,997,Not Available,Not Available
New Jersey,"Hunterdon County, NJ",,3844,15.39,96.84
New Jersey,"Mercer County, NJ",2016,4280,11.54,57.25
New Jersey,"Mercer County, NJ",2017,4081,10.89,53.97
New Jersey,"Mercer County, NJ",2018,3999,Not Available,Not Available
New Jersey,"Mercer County, NJ",2019,4103,Not Available,Not Available
New Jersey,"Mercer County, NJ",,16463,22.08,109.48
New Jersey,"Middlesex County, NJ",2016,9332,11.15,55.09
New Jersey,"Middlesex County, NJ",2017,9123,10.82,53.76
New Jersey,"Middlesex County, NJ",2018,8872,Not Available,Not Available
New Jersey,"Middlesex County, NJ",2019,8516,Not Available,Not Available
New Jersey,"Middlesex County, NJ",,35843,21.34,105.7
New Jersey,"Monmouth County, NJ",2016,5960,9.52,54.78
New Jersey,"Monmouth County, NJ",2017,5737,9.16,52.69
New Jersey,"Monmouth County, NJ",2018,5888,Not Available,Not Available
New Jersey,"Monmouth County, NJ",2019,5664,Not Available,Not Available
New Jersey,"Monmouth County, NJ",,23249,18.57,106.8
New Jersey,"Morris County, NJ",2016,4633,9.3,52.09
New Jersey,"Morris County, NJ",2017,4636,9.28,51.98
New Jersey,"Morris County, NJ",2018,4487,Not Available,Not Available
New Jersey,"Morris County, NJ",2019,4486,Not Available,Not Available
New Jersey,"Morris County, NJ",,18242,18.28,102.41
New Jersey,"Ocean County, NJ",2016,8566,14.46,90.73
New Jersey,"Ocean County, NJ",2017,8597,14.38,90.49
New Jersey,"Ocean County, NJ",2018,9015,Not Available,Not Available
New Jersey,"Ocean County, NJ",2019,9028,Not Available,Not Available
New Jersey,"Ocean County, NJ",,35206,29.57,185.86
New Jersey,"Passaic County, NJ",2016,6842,13.47,66.81
New Jersey,"Passaic County, NJ",2017,6790,13.25,66.17
New Jersey,"Passaic County, NJ",2018,6542,Not Available,Not Available
New Jersey,"Passaic County, NJ",2019,6394,Not Available,Not Available
New Jersey,"Passaic County, NJ",,26568,26.03,129.58
New Jersey,"Somerset County, NJ",2016,3251,9.74,53.31
New Jersey,"Somerset County, NJ",2017,3068,9.15,49.98
New Jersey,"Somerset County, NJ",2018,3210,Not Available,Not Available
New Jersey,"Somerset County, NJ",2019,3057,Not Available,Not Available
New Jersey,"Somerset County, NJ",,12586,18.81,102.85
New Jersey,"Sussex County, NJ",2016,1180,8.28,49.44
New Jersey,"Sussex County, NJ",2017,1213,8.56,51.28
New Jersey,"Sussex County, NJ",2018,1203,Not Available,Not Available
New Jersey,"Sussex County, NJ",2019,1209,Not Available,Not Available
New Jersey,"Sussex County, NJ",,4805,16.91,101.11
New Jersey,"Union County, NJ",2016,6756,12.16,62.02
New Jersey,"Union County, NJ",2017,6859,12.16,62.26
New Jersey,"Union County, NJ",2018,6777,Not Available,Not Available
New Jersey,"Union County, NJ",2019,6653,Not Available,Not Available
New Jersey,"Union County, NJ",,27045,24.16,123.44
New Jersey,"Warren County, NJ",2016,958,8.99,52.07
New Jersey,"Warren County, NJ",2017,935,8.75,51.01
New Jersey,"Warren County, NJ",2018,1020,Not Available,Not Available
New Jersey,"Warren County, NJ",2019,968,Not Available,Not Available
New Jersey,"Warren County, NJ",,3881,18.19,105.66
New Jersey,"Unidentified Counties, NJ",2016,1479,9.37,59.3
New Jersey,"Unidentified Counties, NJ",2017,1477,9.45,60
New Jersey,"Unidentified Counties, NJ",2018,1433,0.16,0.85
New Jersey,"Unidentified Counties, NJ",2019,1476,0.17,0.88
New Jersey,"Unidentified Counties, NJ",,5865,0.32,1.72
New Jersey,,,404705,11.32,59.68
New Mexico,"Bernalillo County, NM",2016,7574,11.19,55.87
New Mexico,"Bernalillo County, NM",2017,7436,10.99,54.95
New Mexico,"Bernalillo County, NM",2018,7078,Not Available,Not Available
New Mexico,"Bernalillo County, NM",2019,7005,Not Available,Not Available
New Mexico,"Bernalillo County, NM",,29093,21.49,107.4
New Mexico,"Dona Ana County, NM",2016,2839,13.25,63.24
New Mexico,"Dona Ana County, NM",2017,2674,12.4,58.7
New Mexico,"Dona Ana County, NM",2018,2587,Not Available,Not Available
New Mexico,"Dona Ana County, NM",2019,2631,Not Available,Not Available
New Mexico,"Dona Ana County, NM",,10731,24.97,118.65
New Mexico,"Sandoval County, NM",2016,1464,10.31,55.54
New Mexico,"Sandoval County, NM",2017,1412,9.91,53.46
New Mexico,"Sandoval County, NM",2018,1390,Not Available,Not Available
New Mexico,"Sandoval County, NM",2019,1380,Not Available,Not Available
New Mexico,"Sandoval County, NM",,5646,19.84,106.99
New Mexico,"San Juan County, NM",2016,1726,15,78.65
New Mexico,"San Juan County, NM",2017,1472,11.6,59.65
New Mexico,"San Juan County, NM",2018,1444,Not Available,Not Available
New Mexico,"San Juan County, NM",2019,1430,Not Available,Not Available
New Mexico,"San Juan County, NM",,6072,25.09,130.24
New Mexico,"Santa Fe County, NM",2016,1290,8.68,52.92
New Mexico,"Santa Fe County, NM",2017,1222,8.22,50.35
New Mexico,"Santa Fe County, NM",2018,1180,Not Available,Not Available
New Mexico,"Santa Fe County, NM",2019,1176,Not Available,Not Available
New Mexico,"Santa Fe County, NM",,4868,16.37,100.07
New Mexico,"Unidentified Counties, NM",2016,9799,12.5,69.56
New Mexico,"Unidentified Counties, NM",2017,9551,12.28,68.69
New Mexico,"Unidentified Counties, NM",2018,9360,4.47,23.55
New Mexico,"Unidentified Counties, NM",2019,9338,4.45,23.43
New Mexico,"Unidentified Counties, NM",,38048,6.61,35.37
New Mexico,,,94458,11.3,59.59
New York,"Albany County, NY",2016,3045,9.86,45.75
New York,"Albany County, NY",2017,3083,9.96,46.13
New York,"Albany County, NY",2018,2886,Not Available,Not Available
New York,"Albany County, NY",2019,2892,Not Available,Not Available
New York,"Albany County, NY",,11906,19.25,89.25
New York,"Bronx County, NY",2016,21161,14.54,64.91
New York,"Bronx County, NY",2017,20588,13.99,62.86
New York,"Bronx County, NY",2018,20121,Not Available,Not Available
New York,"Bronx County, NY",2019,19327,Not Available,Not Available
New York,"Bronx County, NY",,81197,27.74,124.25
New York,"Broome County, NY",2016,1985,10.16,52.72
New York,"Broome County, NY",2017,1979,10.22,53.02
New York,"Broome County, NY",2018,1877,Not Available,Not Available
New York,"Broome County, NY",2019,1964,Not Available,Not Available
New York,"Broome County, NY",,7805,20.07,104.1
New York,"Chautauqua County, NY",2016,1345,10.39,58.81
New York,"Chautauqua County, NY",2017,1344,10.41,59.26
New York,"Chautauqua County, NY",2018,1299,Not Available,Not Available
New York,"Chautauqua County, NY",2019,1335,Not Available,Not Available
New York,"Chautauqua County, NY",,5323,20.59,116.86
New York,"Dutchess County, NY",2016,2519,8.55,46.44
New York,"Dutchess County, NY",2017,2604,8.81,47.69
New York,"Dutchess County, NY",2018,2549,Not Available,Not Available
New York,"Dutchess County, NY",2019,2701,Not Available,Not Available
New York,"Dutchess County, NY",,10373,17.58,95.3
New York,"Erie County, NY",2016,9916,10.77,56.4
New York,"Erie County, NY",2017,9870,10.66,55.84
New York,"Erie County, NY",2018,9812,Not Available,Not Available
New York,"Erie County, NY",2019,9698,Not Available,Not Available
New York,"Erie County, NY",,39296,21.28,111.46
New York,"Jefferson County, NY",2016,1891,16.59,87.38
New York,"Jefferson County, NY",2017,2009,17.59,92.52
New York,"Jefferson County, NY",2018,1864,Not Available,Not Available
New York,"Jefferson County, NY",2019,1807,Not Available,Not Available
New York,"Jefferson County, NY",,7571,33.18,174.63
New York,"Kings County, NY",2016,40802,15.52,67.78
New York,"Kings County, NY",2017,39192,14.8,65.09
New York,"Kings County, NY",2018,38574,Not Available,Not Available
New York,"Kings County, NY",2019,37153,Not Available,Not Available
New York,"Kings County, NY",,155721,29.5,129.33
New York,"Monroe County, NY",2016,8004,10.7,54.02
New York,"Monroe County, NY",2017,7893,10.56,53.22
New York,"Monroe County, NY",2018,7772,Not Available,Not Available
New York,"Monroe County, NY",2019,7913,Not Available,Not Available
New York,"Monroe County, NY",,31582,21.12,106.53
New York,"Nassau County, NY",2016,14329,10.52,57.91
New York,"Nassau County, NY",2017,14178,10.35,56.98
New York,"Nassau County, NY",2018,14128,Not Available,Not Available
New York,"Nassau County, NY",2019,13810,Not Available,Not Available
New York,"Nassau County, NY",,56445,20.67,113.74
New York,"New York County, NY",2016,17587,10.7,42.35
New York,"New York County, NY",2017,17504,10.51,42.2
New York,"New York County, NY",2018,17020,Not Available,Not Available
New York,"New York County, NY",2019,16577,Not Available,Not Available
New York,"New York County, NY",,68688,20.76,82.75
New York,"Niagara County, NY",2016,2139,10.1,56.68
New York,"Niagara County, NY",2017,2114,10,56.42
New York,"Niagara County, NY",2018,2100,Not Available,Not Available
New York,"Niagara County, NY",2019,2066,Not Available,Not Available
New York,"Niagara County, NY",,8419,19.9,111.94
New York,"Oneida County, NY",2016,2497,10.8,61.27
New York,"Oneida County, NY",2017,2555,11.04,62.83
New York,"Oneida County, NY",2018,2500,Not Available,Not Available
New York,"Oneida County, NY",2019,2489,Not Available,Not Available
New York,"Oneida County, NY",,10041,21.71,123.33
New York,"Onondaga County, NY",2016,5242,11.24,56.94
New York,"Onondaga County, NY",2017,5052,10.86,55.14
New York,"Onondaga County, NY",2018,5236,Not Available,Not Available
New York,"Onondaga County, NY",2019,5051,Not Available,Not Available
New York,"Onondaga County, NY",,20581,22.09,112.05
New York,"Ontario County, NY",2016,997,9.08,52.55
New York,"Ontario County, NY",2017,984,8.95,52.1
New York,"Ontario County, NY",2018,966,Not Available,Not Available
New York,"Ontario County, NY",2019,964,Not Available,Not Available
New York,"Ontario County, NY",,3911,17.8,103.3
New York,"Orange County, NY",2016,4993,13.17,70.91
New York,"Orange County, NY",2017,5092,13.32,72.2
New York,"Orange County, NY",2018,5065,Not Available,Not Available
New York,"Orange County, NY",2019,5199,Not Available,Not Available
New York,"Orange County, NY",,20349,26.72,144.37
New York,"Oswego County, NY",2016,1331,11.19,59.87
New York,"Oswego County, NY",2017,1248,10.53,56.56
New York,"Oswego County, NY",2018,1217,Not Available,Not Available
New York,"Oswego County, NY",2019,1233,Not Available,Not Available
New York,"Oswego County, NY",,5029,21.18,113.53
New York,"Queens County, NY",2016,30377,13.02,61.91
New York,"Queens County, NY",2017,29008,12.3,59.15
New York,"Queens County, NY",2018,28042,Not Available,Not Available
New York,"Queens County, NY",2019,27063,Not Available,Not Available
New York,"Queens County, NY",,114490,24.4,116.7
New York,"Rensselaer County, NY",2016,1726,10.78,56.27
New York,"Rensselaer County, NY",2017,1589,9.95,51.79
New York,"Rensselaer County, NY",2018,1591,Not Available,Not Available
New York,"Rensselaer County, NY",2019,1608,Not Available,Not Available
New York,"Rensselaer County, NY",,6514,20.37,106.16
New York,"Richmond County, NY",2016,5464,11.48,59.35
New York,"Richmond County, NY",2017,5444,11.35,58.94
New York,"Richmond County, NY",2018,5186,Not Available,Not Available
New York,"Richmond County, NY",2019,5283,Not Available,Not Available
New York,"Richmond County, NY",,21377,22.37,115.91
New York,"Rockland County, NY",2016,5440,16.65,92.44
New York,"Rockland County, NY",2017,5481,16.67,92.52
New York,"Rockland County, NY",2018,5719,Not Available,Not Available
New York,"Rockland County, NY",2019,5714,Not Available,Not Available
New York,"Rockland County, NY",,22354,34.09,189.3
New York,"St. Lawrence County, NY",2016,1083,9.84,52.28
New York,"St. Lawrence County, NY",2017,1038,9.47,50.9
New York,"St. Lawrence County, NY",2018,1080,Not Available,Not Available
New York,"St. Lawrence County, NY",2019,984,Not Available,Not Available
New York,"St. Lawrence County, NY",,4185,19.05,101.8
New York,"Saratoga County, NY",2016,2210,9.73,54.14
New York,"Saratoga County, NY",2017,2135,9.29,51.96
New York,"Saratoga County, NY",2018,2022,Not Available,Not Available
New York,"Saratoga County, NY",2019,2062,Not Available,Not Available
New York,"Saratoga County, NY",,8429,18.45,102.91
New York,"Schenectady County, NY",2016,1770,11.45,60.23
New York,"Schenectady County, NY",2017,1814,11.66,61.36
New York,"Schenectady County, NY",2018,1840,Not Available,Not Available
New York,"Schenectady County, NY",2019,1798,Not Available,Not Available
New York,"Schenectady County, NY",,7222,23.29,122.51
New York,"Suffolk County, NY",2016,15559,10.42,57.41
New York,"Suffolk County, NY",2017,15359,10.29,56.96
New York,"Suffolk County, NY",2018,15278,Not Available,Not Available
New York,"Suffolk County, NY",2019,15036,Not Available,Not Available
New York,"Suffolk County, NY",,61232,20.51,113.25
New York,"Tompkins County, NY",2016,787,7.5,28.62
New York,"Tompkins County, NY",2017,767,7.32,27.84
New York,"Tompkins County, NY",2018,735,Not Available,Not Available
New York,"Tompkins County, NY",2019,704,Not Available,Not Available
New York,"Tompkins County, NY",,2993,14.27,54.37
New York,"Ulster County, NY",2016,1482,8.27,46.69
New York,"Ulster County, NY",2017,1453,8.1,45.7
New York,"Ulster County, NY",2018,1546,Not Available,Not Available
New York,"Ulster County, NY",2019,1526,Not Available,Not Available
New York,"Ulster County, NY",,6007,16.75,94.54
New York,"Westchester County, NY",2016,10280,10.55,56.44
New York,"Westchester County, NY",2017,10400,10.61,56.89
New York,"Westchester County, NY",2018,10091,Not Available,Not Available
New York,"Westchester County, NY",2019,9880,Not Available,Not Available
New York,"Westchester County, NY",,40651,20.8,111.39
New York,"Unidentified Counties, NY",2016,18322,9.7,56.25
New York,"Unidentified Counties, NY",2017,17960,9.54,55.63
New York,"Unidentified Counties, NY",2018,18122,0.93,4.64
New York,"Unidentified Counties, NY",2019,17702,0.91,4.57
New York,"Unidentified Counties, NY",,72106,1.69,8.55
New York,,,911797,11.6,57.77
North Carolina,"Alamance County, NC",2016,1856,11.62,59.05
North Carolina,"Alamance County, NC",2017,1940,11.95,61.07
North Carolina,"Alamance County, NC",2018,1958,Not Available,Not Available
North Carolina,"Alamance County, NC",2019,1863,Not Available,Not Available
North Carolina,"Alamance County, NC",,7617,23.65,120.52
North Carolina,"Brunswick County, NC",2016,978,7.7,55.35
North Carolina,"Brunswick County, NC",2017,1008,7.7,56.62
North Carolina,"Brunswick County, NC",2018,987,Not Available,Not Available
North Carolina,"Brunswick County, NC",2019,1026,Not Available,Not Available
North Carolina,"Brunswick County, NC",,3999,15.51,112.73
North Carolina,"Buncombe County, NC",2016,2595,10.13,52.56
North Carolina,"Buncombe County, NC",2017,2393,9.29,47.99
North Carolina,"Buncombe County, NC",2018,2482,Not Available,Not Available
North Carolina,"Buncombe County, NC",2019,2463,Not Available,Not Available
North Carolina,"Buncombe County, NC",,9933,19.34,100.09
North Carolina,"Cabarrus County, NC",2016,2477,12.29,61.44
North Carolina,"Cabarrus County, NC",2017,2593,12.53,62.68
North Carolina,"Cabarrus County, NC",2018,2509,Not Available,Not Available
North Carolina,"Cabarrus County, NC",2019,2538,Not Available,Not Available
North Carolina,"Cabarrus County, NC",,10117,24.77,123.86
North Carolina,"Catawba County, NC",2016,1664,10.64,58.76
North Carolina,"Catawba County, NC",2017,1652,10.46,57.88
North Carolina,"Catawba County, NC",2018,1693,Not Available,Not Available
North Carolina,"Catawba County, NC",2019,1687,Not Available,Not Available
North Carolina,"Catawba County, NC",,6696,21.3,117.75
North Carolina,"Craven County, NC",2016,1438,13.9,77.59
North Carolina,"Craven County, NC",2017,1386,13.51,75.95
North Carolina,"Craven County, NC",2018,1337,Not Available,Not Available
North Carolina,"Craven County, NC",2019,1319,Not Available,Not Available
North Carolina,"Craven County, NC",,5480,26.6,148.98
North Carolina,"Cumberland County, NC",2016,5446,16.65,76.32
North Carolina,"Cumberland County, NC",2017,5506,16.56,76.97
North Carolina,"Cumberland County, NC",2018,5401,Not Available,Not Available
North Carolina,"Cumberland County, NC",2019,5462,Not Available,Not Available
North Carolina,"Cumberland County, NC",,21815,33.07,152.67
North Carolina,"Davidson County, NC",2016,1771,10.74,60.7
North Carolina,"Davidson County, NC",2017,1761,10.64,60.6
North Carolina,"Davidson County, NC",2018,1751,Not Available,Not Available
North Carolina,"Davidson County, NC",2019,1775,Not Available,Not Available
North Carolina,"Davidson County, NC",,7058,21.36,121.2
North Carolina,"Durham County, NC",2016,4346,14.19,60.55
North Carolina,"Durham County, NC",2017,4181,13.42,57.62
North Carolina,"Durham County, NC",2018,4152,Not Available,Not Available
North Carolina,"Durham County, NC",2019,4158,Not Available,Not Available
North Carolina,"Durham County, NC",,16837,27.25,116.66
North Carolina,"Forsyth County, NC",2016,4496,12.1,59.78
North Carolina,"Forsyth County, NC",2017,4368,11.61,57.57
North Carolina,"Forsyth County, NC",2018,4330,Not Available,Not Available
North Carolina,"Forsyth County, NC",2019,4410,Not Available,Not Available
North Carolina,"Forsyth County, NC",,17604,23.54,116.52
North Carolina,"Gaston County, NC",2016,2524,11.63,60.56
North Carolina,"Gaston County, NC",2017,2588,11.75,61.43
North Carolina,"Gaston County, NC",2018,2525,Not Available,Not Available
North Carolina,"Gaston County, NC",2019,2598,Not Available,Not Available
North Carolina,"Gaston County, NC",,10235,23.41,122.13
North Carolina,"Guilford County, NC",2016,6259,12.01,56.08
North Carolina,"Guilford County, NC",2017,6218,11.8,55.33
North Carolina,"Guilford County, NC",2018,6115,Not Available,Not Available
North Carolina,"Guilford County, NC",2019,6045,Not Available,Not Available
North Carolina,"Guilford County, NC",,24637,23.5,110
North Carolina,"Harnett County, NC",2016,1861,14.22,67.62
North Carolina,"Harnett County, NC",2017,1886,14.21,67.89
North Carolina,"Harnett County, NC",2018,1845,Not Available,Not Available
North Carolina,"Harnett County, NC",2019,1860,Not Available,Not Available
North Carolina,"Harnett County, NC",,7452,28.27,134.75
North Carolina,"Henderson County, NC",2016,1089,9.54,60.84
North Carolina,"Henderson County, NC",2017,1040,8.99,57.02
North Carolina,"Henderson County, NC",2018,1093,Not Available,Not Available
North Carolina,"Henderson County, NC",2019,1022,Not Available,Not Available
North Carolina,"Henderson County, NC",,4244,18.46,117.44
North Carolina,"Iredell County, NC",2016,1923,11.12,60.26
North Carolina,"Iredell County, NC",2017,1858,10.57,57.65
North Carolina,"Iredell County, NC",2018,1891,Not Available,Not Available
North Carolina,"Iredell County, NC",2019,1883,Not Available,Not Available
North Carolina,"Iredell County, NC",,7555,21.67,117.78
North Carolina,"Johnston County, NC",2016,2336,12.2,63.13
North Carolina,"Johnston County, NC",2017,2318,11.78,61.14
North Carolina,"Johnston County, NC",2018,2299,Not Available,Not Available
North Carolina,"Johnston County, NC",2019,2522,Not Available,Not Available
North Carolina,"Johnston County, NC",,9475,24.41,126.47
North Carolina,"Mecklenburg County, NC",2016,14881,14.11,61.58
North Carolina,"Mecklenburg County, NC",2017,14753,13.7,60.02
North Carolina,"Mecklenburg County, NC",2018,14650,Not Available,Not Available
North Carolina,"Mecklenburg County, NC",2019,14401,Not Available,Not Available
North Carolina,"Mecklenburg County, NC",,58685,27.53,120.4
North Carolina,"New Hanover County, NC",2016,2241,10.03,47.02
North Carolina,"New Hanover County, NC",2017,2267,9.98,47.06
North Carolina,"New Hanover County, NC",2018,2145,Not Available,Not Available
North Carolina,"New Hanover County, NC",2019,2172,Not Available,Not Available
North Carolina,"New Hanover County, NC",,8825,19.58,92.08
North Carolina,"Onslow County, NC",2016,3960,21.16,99.91
North Carolina,"Onslow County, NC",2017,4061,20.94,101.28
North Carolina,"Onslow County, NC",2018,3923,Not Available,Not Available
North Carolina,"Onslow County, NC",2019,3820,Not Available,Not Available
North Carolina,"Onslow County, NC",,15764,41.37,197.72
North Carolina,"Orange County, NC",2016,1166,8.22,33.95
North Carolina,"Orange County, NC",2017,1179,8.13,33.87
North Carolina,"Orange County, NC",2018,1134,Not Available,Not Available
North Carolina,"Orange County, NC",2019,1163,Not Available,Not Available
North Carolina,"Orange County, NC",,4642,16.19,67.13
North Carolina,"Pitt County, NC",2016,2023,11.42,45.61
North Carolina,"Pitt County, NC",2017,2051,11.46,46.18
North Carolina,"Pitt County, NC",2018,2085,Not Available,Not Available
