Notes,State of Residence,County of Residence,Year,Births,% of Total Births
,Alabama,"Tuscaloosa County, AL",2018,2406,0.02%
,Alabama,"Tuscaloosa County, AL",2019,2630,0.02%
Total,Alabama,"Tuscaloosa County, AL",,10165,0.07%
,Alabama,"Unidentified Counties, AL",2016,23128,0.15%
,Alabama,"Unidentified Counties, AL",2017,22881,0.15%
,Alabama,"Unidentified Counties, AL",2018,22362,0.15%
,Alabama,"Unidentified Counties, AL",2019,22901,0.15%
Total,Alabama,"Unidentified Counties, AL",,91272,0.59%
Total,Alabama,,,234468,1.53%
,Alaska,"Anchorage Borough, AK",2016,4518,0.03%
,Alaska,"Anchorage Borough, AK",2017,4136,0.03%
,Alaska,"Anchorage Borough, AK",2018,3975,0.03%
,Alaska,"Anchorage Borough, AK",2019,3945,0.03%
Total,Alaska,"Anchorage Borough, AK",,16574,0.11%
,Alaska,"Unidentified Counties, AK",2016,6691,0.04%
,Alaska,"Unidentified Counties, AK",2017,6309,0.04%
,Alaska,"Unidentified Counties, AK",2018,6111,0.04%
,Alaska,"Unidentified Counties, AK",2019,5877,0.04%
Total,Alaska,"Unidentified Counties, AK",,24988,0.16%
Total,Alaska,,,41562,0.27%
,Arizona,"Cochise County, AZ",2016,1529,0.01%
,Arizona,"Cochise County, AZ",2017,1335,0.01%
,Arizona,"Cochise County, AZ",2018,1354,0.01%
,Arizona,"Cochise County, AZ",2019,1341,0.01%
Total,Arizona,"Cochise County, AZ",,5559,0.04%
,Arizona,"Coconino County, AZ",2016,1612,0.01%
,Arizona,"Coconino County, AZ",2017,1508,0.01%
,Arizona,"Coconino County, AZ",2018,1506,0.01%
,Arizona,"Coconino County, AZ",2019,1369,0.01%
Total,Arizona,"Coconino County, AZ",,5995,0.04%
,Arizona,"Maricopa County, AZ",2016,54126,0.35%
,Arizona,"Maricopa County, AZ",2017,52633,0.34%
,Arizona,"Maricopa County, AZ",2018,51854,0.34%
,Arizona,"Maricopa County, AZ",2019,51165,0.33%
Total,Arizona,"Maricopa County, AZ",,209778,1.37%
,Arizona,"Mohave County, AZ",2016,1802,0.01%
,Arizona,"Mohave County, AZ",2017,1753,0.01%
,Arizona,"Mohave County, AZ",2018,1796,0.01%
,Arizona,"Mohave County, AZ",2019,1733,0.01%
Total,Arizona,"Mohave County, AZ",,7084,0.05%
,Arizona,"Navajo County, AZ",2016,1497,0.01%
,Arizona,"Navajo County, AZ",2017,1508,0.01%
,Arizona,"Navajo County, AZ",2018,1381,0.01%
,Arizona,"Navajo County, AZ",2019,1359,0.01%
Total,Arizona,"Navajo County, AZ",,5745,0.04%
,Arizona,"Pima County, AZ",2016,11421,0.07%
,Arizona,"Pima County, AZ",2017,10983,0.07%
,Arizona,"Pima County, AZ",2018,10671,0.07%
,Arizona,"Pima County, AZ",2019,10379,0.07%
Total,Arizona,"Pima County, AZ",,43454,0.28%
,Arizona,"Pinal County, AZ",2016,4470,0.03%
,Arizona,"Pinal County, AZ",2017,4392,0.03%
,Arizona,"Pinal County, AZ",2018,4498,0.03%
,Arizona,"Pinal County, AZ",2019,4505,0.03%
Total,Arizona,"Pinal County, AZ",,17865,0.12%
,Arizona,"Yavapai County, AZ",2016,1868,0.01%
,Arizona,"Yavapai County, AZ",2017,1798,0.01%
,Arizona,"Yavapai County, AZ",2018,1772,0.01%
,Arizona,"Yavapai County, AZ",2019,1806,0.01%
Total,Arizona,"Yavapai County, AZ",,7244,0.05%
,Arizona,"Yuma County, AZ",2016,3007,0.02%
,Arizona,"Yuma County, AZ",2017,2960,0.02%
,Arizona,"Yuma County, AZ",2018,3034,0.02%
,Arizona,"Yuma County, AZ",2019,2952,0.02%
Total,Arizona,"Yuma County, AZ",,11953,0.08%
,Arizona,"Unidentified Counties, AZ",2016,3188,0.02%
,Arizona,"Unidentified Counties, AZ",2017,3002,0.02%
,Arizona,"Unidentified Counties, AZ",2018,2857,0.02%
,Arizona,"Unidentified Counties, AZ",2019,2766,0.02%
Total,Arizona,"Unidentified Counties, AZ",,11813,0.08%
Total,Arizona,,,326490,2.13%
,Arkansas,"Benton County, AR",2016,3622,0.02%
,Arkansas,"Benton County, AR",2017,3713,0.02%
,Arkansas,"Benton County, AR",2018,3778,0.02%
,Arkansas,"Benton County, AR",2019,3519,0.02%
Total,Arkansas,"Benton County, AR",,14632,0.10%
,Arkansas,"Faulkner County, AR",2016,1534,0.01%
,Arkansas,"Faulkner County, AR",2017,1545,0.01%
,Arkansas,"Faulkner County, AR",2018,1467,0.01%
,Arkansas,"Faulkner County, AR",2019,1513,0.01%
Total,Arkansas,"Faulkner County, AR",,6059,0.04%
,Arkansas,"Pulaski County, AR",2016,5348,0.03%
,Arkansas,"Pulaski County, AR",2017,5259,0.03%
,Arkansas,"Pulaski County, AR",2018,5123,0.03%
,Arkansas,"Pulaski County, AR",2019,5183,0.03%
Total,Arkansas,"Pulaski County, AR",,20913,0.14%
,Arkansas,"Saline County, AR",2016,1326,0.01%
,Arkansas,"Saline County, AR",2017,1275,0.01%
,Arkansas,"Saline County, AR",2018,1339,0.01%
,Arkansas,"Saline County, AR",2019,1372,0.01%
Total,Arkansas,"Saline County, AR",,5312,0.03%
,Arkansas,"Sebastian County, AR",2016,1721,0.01%
,Arkansas,"Sebastian County, AR",2017,1828,0.01%
,Arkansas,"Sebastian County, AR",2018,1662,0.01%
,Arkansas,"Sebastian County, AR",2019,1670,0.01%
Total,Arkansas,"Sebastian County, AR",,6881,0.04%
,Arkansas,"Washington County, AR",2016,3280,0.02%
,Arkansas,"Washington County, AR",2017,3199,0.02%
,Arkansas,"Washington County, AR",2018,3227,0.02%
,Arkansas,"Washington County, AR",2019,3174,0.02%
Total,Arkansas,"Washington County, AR",,12880,0.08%
,Arkansas,"Unidentified Counties, AR",2016,21443,0.14%
,Arkansas,"Unidentified Counties, AR",2017,20701,0.13%
,Arkansas,"Unidentified Counties, AR",2018,20422,0.13%
,Arkansas,"Unidentified Counties, AR",2019,20133,0.13%
Total,Arkansas,"Unidentified Counties, AR",,82699,0.54%
Total,Arkansas,,,149376,0.97%
,California,"Alameda County, CA",2016,19573,0.13%
,California,"Alameda County, CA",2017,18888,0.12%
,California,"Alameda County, CA",2018,18240,0.12%
,California,"Alameda County, CA",2019,18212,0.12%
Total,California,"Alameda County, CA",,74913,0.49%
,California,"Butte County, CA",2016,2490,0.02%
,California,"Butte County, CA",2017,2386,0.02%
,California,"Butte County, CA",2018,2430,0.02%
,California,"Butte County, CA",2019,2154,0.01%
Total,California,"Butte County, CA",,9460,0.06%
,California,"Contra Costa County, CA",2016,12340,0.08%
,California,"Contra Costa County, CA",2017,12180,0.08%
,California,"Contra Costa County, CA",2018,12002,0.08%
,California,"Contra Costa County, CA",2019,11729,0.08%
Total,California,"Contra Costa County, CA",,48251,0.31%
,California,"El Dorado County, CA",2016,1601,0.01%
,California,"El Dorado County, CA",2017,1570,0.01%
,California,"El Dorado County, CA",2018,1674,0.01%
,California,"El Dorado County, CA",2019,1524,0.01%
Total,California,"El Dorado County, CA",,6369,0.04%
,California,"Fresno County, CA",2016,15129,0.10%
,California,"Fresno County, CA",2017,14541,0.09%
,California,"Fresno County, CA",2018,14465,0.09%
,California,"Fresno County, CA",2019,14057,0.09%
Total,California,"Fresno County, CA",,58192,0.38%
,California,"Humboldt County, CA",2016,1482,0.01%
,California,"Humboldt County, CA",2017,1372,0.01%
,California,"Humboldt County, CA",2018,1364,0.01%
,California,"Humboldt County, CA",2019,1417,0.01%
Total,California,"Humboldt County, CA",,5635,0.04%
,California,"Imperial County, CA",2016,2939,0.02%
,California,"Imperial County, CA",2017,2894,0.02%
,California,"Imperial County, CA",2018,2629,0.02%
,California,"Imperial County, CA",2019,2533,0.02%
Total,California,"Imperial County, CA",,10995,0.07%
,California,"Kern County, CA",2016,13728,0.09%
,California,"Kern County, CA",2017,13326,0.09%
,California,"Kern County, CA",2018,12916,0.08%
,California,"Kern County, CA",2019,12765,0.08%
Total,California,"Kern County, CA",,52735,0.34%
,California,"Kings County, CA",2016,2248,0.01%
,California,"Kings County, CA",2017,2373,0.02%
,California,"Kings County, CA",2018,2262,0.01%
,California,"Kings County, CA",2019,2115,0.01%
Total,California,"Kings County, CA",,8998,0.06%
,California,"Los Angeles County, CA",2016,123092,0.80%
,California,"Los Angeles County, CA",2017,116950,0.76%
,California,"Los Angeles County, CA",2018,110271,0.72%
,California,"Los Angeles County, CA",2019,107231,0.70%
Total,California,"Los Angeles County, CA",,457544,2.98%
,California,"Madera County, CA",2016,2355,0.02%
,California,"Madera County, CA",2017,2120,0.01%
,California,"Madera County, CA",2018,2079,0.01%
,California,"Madera County, CA",2019,2045,0.01%
Total,California,"Madera County, CA",,8599,0.06%
,California,"Marin County, CA",2016,2252,0.01%
,California,"Marin County, CA",2017,2237,0.01%
,California,"Marin County, CA",2018,2127,0.01%
,California,"Marin County, CA",2019,2071,0.01%
Total,California,"Marin County, CA",,8687,0.06%
,California,"Merced County, CA",2016,4117,0.03%
,California,"Merced County, CA",2017,4202,0.03%
,California,"Merced County, CA",2018,3875,0.03%
,California,"Merced County, CA",2019,3806,0.02%
Total,California,"Merced County, CA",,16000,0.10%
,California,"Monterey County, CA",2016,6219,0.04%
,California,"Monterey County, CA",2017,5810,0.04%
,California,"Monterey County, CA",2018,5895,0.04%
,California,"Monterey County, CA",2019,5846,0.04%
Total,California,"Monterey County, CA",,23770,0.15%
,California,"Napa County, CA",2016,1406,0.01%
,California,"Napa County, CA",2017,1291,0.01%
,California,"Napa County, CA",2018,1204,0.01%
,California,"Napa County, CA",2019,1279,0.01%
Total,California,"Napa County, CA",,5180,0.03%
,California,"Orange County, CA",2016,38106,0.25%
,California,"Orange County, CA",2017,37369,0.24%
,California,"Orange County, CA",2018,35679,0.23%
,California,"Orange County, CA",2019,35052,0.23%
Total,California,"Orange County, CA",,146206,0.95%
,California,"Placer County, CA",2016,3732,0.02%
,California,"Placer County, CA",2017,3689,0.02%
,California,"Placer County, CA",2018,3663,0.02%
,California,"Placer County, CA",2019,3658,0.02%
Total,California,"Placer County, CA",,14742,0.10%
,California,"Riverside County, CA",2016,30661,0.20%
,California,"Riverside County, CA",2017,29857,0.19%
,California,"Riverside County, CA",2018,28725,0.19%
,California,"Riverside County, CA",2019,28026,0.18%
Total,California,"Riverside County, CA",,117269,0.76%
,California,"Sacramento County, CA",2016,19588,0.13%
,California,"Sacramento County, CA",2017,19202,0.13%
,California,"Sacramento County, CA",2018,19102,0.12%
,California,"Sacramento County, CA",2019,19089,0.12%
Total,California,"Sacramento County, CA",,76981,0.50%
,California,"San Bernardino County, CA",2016,31032,0.20%
,California,"San Bernardino County, CA",2017,29643,0.19%
,California,"San Bernardino County, CA",2018,28994,0.19%
,California,"San Bernardino County, CA",2019,28656,0.19%
Total,California,"San Bernardino County, CA",,118325,0.77%
,California,"San Diego County, CA",2016,42720,0.28%
,California,"San Diego County, CA",2017,41230,0.27%
,California,"San Diego County, CA",2018,40070,0.26%
,California,"San Diego County, CA",2019,38540,0.25%
Total,California,"San Diego County, CA",,162560,1.06%
,California,"San Francisco County, CA",2016,9062,0.06%
,California,"San Francisco County, CA",2017,8947,0.06%
,California,"San Francisco County, CA",2018,8697,0.06%
,California,"San Francisco County, CA",2019,8438,0.06%
Total,California,"San Francisco County, CA",,35144,0.23%
,California,"San Joaquin County, CA",2016,10268,0.07%
,California,"San Joaquin County, CA",2017,9928,0.06%
,California,"San Joaquin County, CA",2018,9841,0.06%
,California,"San Joaquin County, CA",2019,10009,0.07%
Total,California,"San Joaquin County, CA",,40046,0.26%
,California,"San Luis Obispo County, CA",2016,2581,0.02%
,California,"San Luis Obispo County, CA",2017,2550,0.02%
,California,"San Luis Obispo County, CA",2018,2445,0.02%
,California,"San Luis Obispo County, CA",2019,2447,0.02%
Total,California,"San Luis Obispo County, CA",,10023,0.07%
,California,"San Mateo County, CA",2016,8960,0.06%
,California,"San Mateo County, CA",2017,8585,0.06%
,California,"San Mateo County, CA",2018,8330,0.05%
,California,"San Mateo County, CA",2019,8206,0.05%
Total,California,"San Mateo County, CA",,34081,0.22%
,California,"Santa Barbara County, CA",2016,5501,0.04%
,California,"Santa Barbara County, CA",2017,5531,0.04%
,California,"Santa Barbara County, CA",2018,5268,0.03%
,California,"Santa Barbara County, CA",2019,5537,0.04%
Total,California,"Santa Barbara County, CA",,21837,0.14%
,California,"Santa Clara County, CA",2016,23042,0.15%
,California,"Santa Clara County, CA",2017,22133,0.14%
,California,"Santa Clara County, CA",2018,21292,0.14%
,California,"Santa Clara County, CA",2019,21184,0.14%
Total,California,"Santa Clara County, CA",,87651,0.57%
,California,"Santa Cruz County, CA",2016,2799,0.02%
,California,"Santa Cruz County, CA",2017,2658,0.02%
,California,"Santa Cruz County, CA",2018,2449,0.02%
,California,"Santa Cruz County, CA",2019,2434,0.02%
Total,California,"Santa Cruz County, CA",,10340,0.07%
,California,"Shasta County, CA",2016,2048,0.01%
,California,"Shasta County, CA",2017,2008,0.01%
,California,"Shasta County, CA",2018,1966,0.01%
,California,"Shasta County, CA",2019,1903,0.01%
Total,California,"Shasta County, CA",,7925,0.05%
,California,"Solano County, CA",2016,5259,0.03%
,California,"Solano County, CA",2017,5131,0.03%
,California,"Solano County, CA",2018,5033,0.03%
,California,"Solano County, CA",2019,5065,0.03%
Total,California,"Solano County, CA",,20488,0.13%
,California,"Sonoma County, CA",2016,4962,0.03%
,California,"Sonoma County, CA",2017,4642,0.03%
,California,"Sonoma County, CA",2018,4526,0.03%
,California,"Sonoma County, CA",2019,4395,0.03%
Total,California,"Sonoma County, CA",,18525,0.12%
,California,"Stanislaus County, CA",2016,7862,0.05%
,California,"Stanislaus County, CA",2017,7441,0.05%
,California,"Stanislaus County, CA",2018,7364,0.05%
,California,"Stanislaus County, CA",2019,7402,0.05%
Total,California,"Stanislaus County, CA",,30069,0.20%
,California,"Tulare County, CA",2016,7146,0.05%
,California,"Tulare County, CA",2017,7130,0.05%
,California,"Tulare County, CA",2018,6905,0.05%
,California,"Tulare County, CA",2019,6714,0.04%
Total,California,"Tulare County, CA",,27895,0.18%
,California,"Ventura County, CA",2016,9592,0.06%
,California,"Ventura County, CA",2017,9318,0.06%
,California,"Ventura County, CA",2018,9065,0.06%
,California,"Ventura County, CA",2019,8736,0.06%
Total,California,"Ventura County, CA",,36711,0.24%
,California,"Yolo County, CA",2016,2423,0.02%
,California,"Yolo County, CA",2017,2272,0.01%
,California,"Yolo County, CA",2018,2135,0.01%
,California,"Yolo County, CA",2019,2057,0.01%
Total,California,"Yolo County, CA",,8887,0.06%
,California,"Unidentified Counties, CA",2016,10512,0.07%
,California,"Unidentified Counties, CA",2017,10254,0.07%
,California,"Unidentified Counties, CA",2018,9938,0.06%
,California,"Unidentified Counties, CA",2019,10147,0.07%
Total,California,"Unidentified Counties, CA",,40851,0.27%
Total,California,,,1861884,12.14%
,Colorado,"Adams County, CO",2016,6672,0.04%
,Colorado,"Adams County, CO",2017,6610,0.04%
,Colorado,"Adams County, CO",2018,6293,0.04%
,Colorado,"Adams County, CO",2019,6204,0.04%
Total,Colorado,"Adams County, CO",,25779,0.17%
,Colorado,"Arapahoe County, CO",2016,7910,0.05%
,Colorado,"Arapahoe County, CO",2017,7574,0.05%
,Colorado,"Arapahoe County, CO",2018,7401,0.05%
,Colorado,"Arapahoe County, CO",2019,7467,0.05%
Total,Colorado,"Arapahoe County, CO",,30352,0.20%
,Colorado,"Boulder County, CO",2016,2729,0.02%
,Colorado,"Boulder County, CO",2017,2627,0.02%
,Colorado,"Boulder County, CO",2018,2560,0.02%
,Colorado,"Boulder County, CO",2019,2509,0.02%
Total,Colorado,"Boulder County, CO",,10425,0.07%
,Colorado,"Denver County, CO",2016,10006,0.07%
,Colorado,"Denver County, CO",2017,9594,0.06%
,Colorado,"Denver County, CO",2018,9424,0.06%
,Colorado,"Denver County, CO",2019,9389,0.06%
Total,Colorado,"Denver County, CO",,38413,0.25%
,Colorado,"Douglas County, CO",2016,3488,0.02%
,Colorado,"Douglas County, CO",2017,3368,0.02%
,Colorado,"Douglas County, CO",2018,3395,0.02%
,Colorado,"Douglas County, CO",2019,3472,0.02%
Total,Colorado,"Douglas County, CO",,13723,0.09%
,Colorado,"El Paso County, CO",2016,9490,0.06%
,Colorado,"El Paso County, CO",2017,9493,0.06%
,Colorado,"El Paso County, CO",2018,9107,0.06%
,Colorado,"El Paso County, CO",2019,9037,0.06%
Total,Colorado,"El Paso County, CO",,37127,0.24%
,Colorado,"Jefferson County, CO",2016,6104,0.04%
,Colorado,"Jefferson County, CO",2017,5819,0.04%
,Colorado,"Jefferson County, CO",2018,5654,0.04%
,Colorado,"Jefferson County, CO",2019,5713,0.04%
Total,Colorado,"Jefferson County, CO",,23290,0.15%
,Colorado,"Larimer County, CO",2016,3375,0.02%
,Colorado,"Larimer County, CO",2017,3313,0.02%
,Colorado,"Larimer County, CO",2018,3219,0.02%
,Colorado,"Larimer County, CO",2019,3141,0.02%
Total,Colorado,"Larimer County, CO",,13048,0.09%
,Colorado,"Mesa County, CO",2016,1770,0.01%
,Colorado,"Mesa County, CO",2017,1624,0.01%
,Colorado,"Mesa County, CO",2018,1655,0.01%
,Colorado,"Mesa County, CO",2019,1580,0.01%
Total,Colorado,"Mesa County, CO",,6629,0.04%
,Colorado,"Pueblo County, CO",2016,1883,0.01%
,Colorado,"Pueblo County, CO",2017,1776,0.01%
,Colorado,"Pueblo County, CO",2018,1829,0.01%
,Colorado,"Pueblo County, CO",2019,1802,0.01%
Total,Colorado,"Pueblo County, CO",,7290,0.05%
,Colorado,"Weld County, CO",2016,4306,0.03%
,Colorado,"Weld County, CO",2017,4250,0.03%
,Colorado,"Weld County, CO",2018,4243,0.03%
,Colorado,"Weld County, CO",2019,4384,0.03%
Total,Colorado,"Weld County, CO",,17183,0.11%
,Colorado,"Unidentified Counties, CO",2016,8880,0.06%
,Colorado,"Unidentified Counties, CO",2017,8334,0.05%
,Colorado,"Unidentified Counties, CO",2018,8105,0.05%
,Colorado,"Unidentified Counties, CO",2019,8171,0.05%
Total,Colorado,"Unidentified Counties, CO",,33490,0.22%
Total,Colorado,,,256749,1.67%
,Connecticut,"Fairfield County, CT",2016,10064,0.07%
,Connecticut,"Fairfield County, CT",2017,9904,0.06%
,Connecticut,"Fairfield County, CT",2018,9726,0.06%
,Connecticut,"Fairfield County, CT",2019,9494,0.06%
Total,Connecticut,"Fairfield County, CT",,39188,0.26%
,Connecticut,"Hartford County, CT",2016,9442,0.06%
,Connecticut,"Hartford County, CT",2017,9204,0.06%
,Connecticut,"Hartford County, CT",2018,9239,0.06%
,Connecticut,"Hartford County, CT",2019,9021,0.06%
Total,Connecticut,"Hartford County, CT",,36906,0.24%
,Connecticut,"Litchfield County, CT",2016,1422,0.01%
,Connecticut,"Litchfield County, CT",2017,1402,0.01%
,Connecticut,"Litchfield County, CT",2018,1364,0.01%
,Connecticut,"Litchfield County, CT",2019,1380,0.01%
Total,Connecticut,"Litchfield County, CT",,5568,0.04%
,Connecticut,"Middlesex County, CT",2016,1277,0.01%
,Connecticut,"Middlesex County, CT",2017,1255,0.01%
,Connecticut,"Middlesex County, CT",2018,1244,0.01%
,Connecticut,"Middlesex County, CT",2019,1288,0.01%
Total,Connecticut,"Middlesex County, CT",,5064,0.03%
,Connecticut,"New Haven County, CT",2016,8886,0.06%
,Connecticut,"New Haven County, CT",2017,8641,0.06%
,Connecticut,"New Haven County, CT",2018,8519,0.06%
,Connecticut,"New Haven County, CT",2019,8391,0.05%
Total,Connecticut,"New Haven County, CT",,34437,0.22%
,Connecticut,"New London County, CT",2016,2647,0.02%
,Connecticut,"New London County, CT",2017,2603,0.02%
,Connecticut,"New London County, CT",2018,2457,0.02%
,Connecticut,"New London County, CT",2019,2482,0.02%
Total,Connecticut,"New London County, CT",,10189,0.07%
,Connecticut,"Tolland County, CT",2016,1175,0.01%
,Connecticut,"Tolland County, CT",2017,1139,0.01%
,Connecticut,"Tolland County, CT",2018,1114,0.01%
,Connecticut,"Tolland County, CT",2019,1177,0.01%
Total,Connecticut,"Tolland County, CT",,4605,0.03%
,Connecticut,"Windham County, CT",2016,1102,0.01%
,Connecticut,"Windham County, CT",2017,1073,0.01%
,Connecticut,"Windham County, CT",2018,1062,0.01%
,Connecticut,"Windham County, CT",2019,1025,0.01%
Total,Connecticut,"Windham County, CT",,4262,0.03%
Total,Connecticut,,,140219,0.91%
,Delaware,"Kent County, DE",2016,2190,0.01%
,Delaware,"Kent County, DE",2017,2121,0.01%
,Delaware,"Kent County, DE",2018,2145,0.01%
,Delaware,"Kent County, DE",2019,2064,0.01%
Total,Delaware,"Kent County, DE",,8520,0.06%
,Delaware,"New Castle County, DE",2016,6501,0.04%
,Delaware,"New Castle County, DE",2017,6431,0.04%
,Delaware,"New Castle County, DE",2018,6179,0.04%
,Delaware,"New Castle County, DE",2019,6153,0.04%
Total,Delaware,"New Castle County, DE",,25264,0.16%
,Delaware,"Sussex County, DE",2016,2301,0.01%
,Delaware,"Sussex County, DE",2017,2303,0.02%
,Delaware,"Sussex County, DE",2018,2297,0.01%
,Delaware,"Sussex County, DE",2019,2345,0.02%
Total,Delaware,"Sussex County, DE",,9246,0.06%
Total,Delaware,,,43030,0.28%
,District of Columbia,"District of Columbia, DC",2016,9858,0.06%
,District of Columbia,"District of Columbia, DC",2017,9560,0.06%
,District of Columbia,"District of Columbia, DC",2018,9212,0.06%
,District of Columbia,"District of Columbia, DC",2019,9079,0.06%
Total,District of Columbia,"District of Columbia, DC",,37709,0.25%
Total,District of Columbia,,,37709,0.25%
,Florida,"Alachua County, FL",2016,2862,0.02%
,Florida,"Alachua County, FL",2017,2824,0.02%
,Florida,"Alachua County, FL",2018,2733,0.02%
,Florida,"Alachua County, FL",2019,2701,0.02%
Total,Florida,"Alachua County, FL",,11120,0.07%
,Florida,"Bay County, FL",2016,2343,0.02%
,Florida,"Bay County, FL",2017,2315,0.02%
,Florida,"Bay County, FL",2018,2187,0.01%
,Florida,"Bay County, FL",2019,1990,0.01%
Total,Florida,"Bay County, FL",,8835,0.06%
,Florida,"Brevard County, FL",2016,5273,0.03%
,Florida,"Brevard County, FL",2017,5201,0.03%
,Florida,"Brevard County, FL",2018,5309,0.03%
,Florida,"Brevard County, FL",2019,5185,0.03%
Total,Florida,"Brevard County, FL",,20968,0.14%
,Florida,"Broward County, FL",2016,22563,0.15%
,Florida,"Broward County, FL",2017,22322,0.15%
,Florida,"Broward County, FL",2018,21928,0.14%
,Florida,"Broward County, FL",2019,21725,0.14%
Total,Florida,"Broward County, FL",,88538,0.58%
,Florida,"Charlotte County, FL",2016,1037,0.01%
,Florida,"Charlotte County, FL",2017,1060,0.01%
,Florida,"Charlotte County, FL",2018,1040,0.01%
,Florida,"Charlotte County, FL",2019,951,0.01%
Total,Florida,"Charlotte County, FL",,4088,0.03%
,Florida,"Citrus County, FL",2016,1064,0.01%
,Florida,"Citrus County, FL",2017,1108,0.01%
,Florida,"Citrus County, FL",2018,1025,0.01%
,Florida,"Citrus County, FL",2019,1028,0.01%
Total,Florida,"Citrus County, FL",,4225,0.03%
,Florida,"Clay County, FL",2016,2209,0.01%
,Florida,"Clay County, FL",2017,2197,0.01%
,Florida,"Clay County, FL",2018,2182,0.01%
,Florida,"Clay County, FL",2019,2235,0.01%
Total,Florida,"Clay County, FL",,8823,0.06%
,Florida,"Collier County, FL",2016,3322,0.02%
,Florida,"Collier County, FL",2017,3182,0.02%
,Florida,"Collier County, FL",2018,3199,0.02%
,Florida,"Collier County, FL",2019,3117,0.02%
Total,Florida,"Collier County, FL",,12820,0.08%
,Florida,"Duval County, FL",2016,13292,0.09%
,Florida,"Duval County, FL",2017,13182,0.09%
,Florida,"Duval County, FL",2018,12973,0.08%
,Florida,"Duval County, FL",2019,13034,0.08%
Total,Florida,"Duval County, FL",,52481,0.34%
,Florida,"Escambia County, FL",2016,3967,0.03%
,Florida,"Escambia County, FL",2017,3954,0.03%
,Florida,"Escambia County, FL",2018,3733,0.02%
,Florida,"Escambia County, FL",2019,3871,0.03%
Total,Florida,"Escambia County, FL",,15525,0.10%
,Florida,"Hernando County, FL",2016,1585,0.01%
,Florida,"Hernando County, FL",2017,1552,0.01%
,Florida,"Hernando County, FL",2018,1617,0.01%
,Florida,"Hernando County, FL",2019,1565,0.01%
Total,Florida,"Hernando County, FL",,6319,0.04%
,Florida,"Hillsborough County, FL",2016,17325,0.11%
,Florida,"Hillsborough County, FL",2017,17416,0.11%
,Florida,"Hillsborough County, FL",2018,17126,0.11%
,Florida,"Hillsborough County, FL",2019,17174,0.11%
