state,county,year,births,birthrate,fertilityrate
Ohio,"Richland County, OH",2016,1328,10.97,67.12
Ohio,"Richland County, OH",2017,1317,10.92,66.74
Ohio,"Richland County, OH",2018,1353,,
Ohio,"Richland County, OH",2019,1423,,
Ohio,"Richland County, OH",,5421,22.43,137.18
Ohio,"Stark County, OH",2016,4236,11.34,63.2
Ohio,"Stark County, OH",2017,4025,10.8,60.58
Ohio,"Stark County, OH",2018,4075,,
Ohio,"Stark County, OH",2019,4108,,
Ohio,"Stark County, OH",,16444,22.04,123.2
Ohio,"Summit County, OH",2016,5996,11.1,59.67
Ohio,"Summit County, OH",2017,5904,10.91,58.61
Ohio,"Summit County, OH",2018,5934,,
Ohio,"Summit County, OH",2019,5838,,
Ohio,"Summit County, OH",,23672,21.89,117.65
Ohio,"Trumbull County, OH",2016,2101,10.41,62.01
Ohio,"Trumbull County, OH",2017,2107,10.52,62.97
Ohio,"Trumbull County, OH",2018,2069,,
Ohio,"Trumbull County, OH",2019,2150,,
Ohio,"Trumbull County, OH",,8427,20.95,125.14
Ohio,"Warren County, OH",2016,2400,10.57,58.61
Ohio,"Warren County, OH",2017,2262,9.88,54.93
Ohio,"Warren County, OH",2018,2306,,
Ohio,"Warren County, OH",2019,2401,,
Ohio,"Warren County, OH",,9369,20.55,114.08
Ohio,"Wayne County, OH",2016,1487,12.77,70.35
Ohio,"Wayne County, OH",2017,1502,12.94,72.03
Ohio,"Wayne County, OH",2018,1447,,
Ohio,"Wayne County, OH",2019,1442,,
Ohio,"Wayne County, OH",,5878,25.28,140
Ohio,"Wood County, OH",2016,1365,10.48,47.66
Ohio,"Wood County, OH",2017,1401,10.74,48.63
Ohio,"Wood County, OH",2018,1267,,
Ohio,"Wood County, OH",2019,1281,,
Ohio,"Wood County, OH",,5314,20.38,92.5
Ohio,"Unidentified Counties, OH",2016,30573,11.32,64.15
Ohio,"Unidentified Counties, OH",2017,30558,11.32,64.47
Ohio,"Unidentified Counties, OH",2018,30582,2.62,13.83
Ohio,"Unidentified Counties, OH",2019,29825,2.55,13.48
Ohio,"Unidentified Counties, OH",,121538,4.22,22.62
Ohio,,,544512,11.67,61.71
Oklahoma,"Canadian County, OK",2016,1781,13.04,64.49
Oklahoma,"Canadian County, OK",2017,1763,12.6,62.16
Oklahoma,"Canadian County, OK",2018,1864,,
Oklahoma,"Canadian County, OK",2019,1754,,
Oklahoma,"Canadian County, OK",,7162,25.91,127.94
Oklahoma,"Cleveland County, OK",2016,3016,10.82,48.31
Oklahoma,"Cleveland County, OK",2017,2781,9.94,44.28
Oklahoma,"Cleveland County, OK",2018,2833,,
Oklahoma,"Cleveland County, OK",2019,2811,,
Oklahoma,"Cleveland County, OK",,11441,20.49,91.35
Oklahoma,"Comanche County, OK",2016,1757,14.39,70.85
Oklahoma,"Comanche County, OK",2017,1735,14.28,70.76
Oklahoma,"Comanche County, OK",2018,1681,,
Oklahoma,"Comanche County, OK",2019,1725,,
Oklahoma,"Comanche County, OK",,6898,28.31,139.87
Oklahoma,"Oklahoma County, OK",2016,12197,15.58,74.85
Oklahoma,"Oklahoma County, OK",2017,11554,14.66,70.78
Oklahoma,"Oklahoma County, OK",2018,11255,,
Oklahoma,"Oklahoma County, OK",2019,11320,,
Oklahoma,"Oklahoma County, OK",,46326,29.49,142.03
Oklahoma,"Tulsa County, OK",2016,9639,14.99,73.31
Oklahoma,"Tulsa County, OK",2017,9120,14.11,69.32
Oklahoma,"Tulsa County, OK",2018,8933,,
Oklahoma,"Tulsa County, OK",2019,8866,,
Oklahoma,"Tulsa County, OK",,36558,28.36,138.98
Oklahoma,"Unidentified Counties, OK",2016,24202,12.35,67.38
Oklahoma,"Unidentified Counties, OK",2017,23261,11.89,64.93
Oklahoma,"Unidentified Counties, OK",2018,23234,5.89,30.15
Oklahoma,"Unidentified Counties, OK",2019,22667,5.73,29.25
Oklahoma,"Unidentified Counties, OK",,93364,7.9,41.26
Oklahoma,,,201749,12.81,65.44
Oregon,"Clackamas County, OR",2016,4199,10.29,56.33
Oregon,"Clackamas County, OR",2017,3999,9.69,53.02
Oregon,"Clackamas County, OR",2018,3886,,
Oregon,"Clackamas County, OR",2019,3798,,
Oregon,"Clackamas County, OR",,15882,19.35,105.9
Oregon,"Deschutes County, OR",2016,1806,9.96,55.94
Oregon,"Deschutes County, OR",2017,1808,9.67,53.88
Oregon,"Deschutes County, OR",2018,1827,,
Oregon,"Deschutes County, OR",2019,1828,,
Oregon,"Deschutes County, OR",,7269,19.74,110.41
Oregon,"Douglas County, OR",2016,1087,10.02,64.53
Oregon,"Douglas County, OR",2017,1068,9.76,62.92
Oregon,"Douglas County, OR",2018,1054,,
Oregon,"Douglas County, OR",2019,1038,,
Oregon,"Douglas County, OR",,4247,19.49,125.58
Oregon,"Jackson County, OR",2016,2294,10.59,60.21
Oregon,"Jackson County, OR",2017,2252,10.36,58.69
Oregon,"Jackson County, OR",2018,2199,,
Oregon,"Jackson County, OR",2019,2138,,
Oregon,"Jackson County, OR",,8883,20.47,116.16
Oregon,"Lane County, OR",2016,3554,9.62,48.01
Oregon,"Lane County, OR",2017,3459,9.23,45.69
Oregon,"Lane County, OR",2018,3327,,
Oregon,"Lane County, OR",2019,3268,,
Oregon,"Lane County, OR",,13608,18.28,90.89
Oregon,"Linn County, OR",2016,1521,12.38,67.39
Oregon,"Linn County, OR",2017,1456,11.64,63.54
Oregon,"Linn County, OR",2018,1518,,
Oregon,"Linn County, OR",2019,1453,,
Oregon,"Linn County, OR",,5948,23.99,130.77
Oregon,"Marion County, OR",2016,4539,13.5,69.67
Oregon,"Marion County, OR",2017,4467,13.09,67.4
Oregon,"Marion County, OR",2018,4183,,
Oregon,"Marion County, OR",2019,4114,,
Oregon,"Marion County, OR",,17303,25.54,131.66
Oregon,"Multnomah County, OR",2016,9081,11.35,49.53
Oregon,"Multnomah County, OR",2017,8573,10.62,46.1
Oregon,"Multnomah County, OR",2018,8211,,
Oregon,"Multnomah County, OR",2019,8083,,
Oregon,"Multnomah County, OR",,33948,21.12,91.92
Oregon,"Washington County, OR",2016,6983,11.98,56.98
Oregon,"Washington County, OR",2017,6570,11.16,53.02
Oregon,"Washington County, OR",2018,6425,,
Oregon,"Washington County, OR",2019,6345,,
Oregon,"Washington County, OR",,26323,22.46,106.81
Oregon,"Unidentified Counties, OR",2016,10471,10.82,61.96
Oregon,"Unidentified Counties, OR",2017,9979,10.2,58.25
Oregon,"Unidentified Counties, OR",2018,9558,2.28,11.64
Oregon,"Unidentified Counties, OR",2019,9793,2.32,11.83
Oregon,"Unidentified Counties, OR",,39801,3.84,20.01
Oregon,,,173212,10.41,53.17
Pennsylvania,"Adams County, PA",2016,922,9.02,52.46
Pennsylvania,"Adams County, PA",2017,972,9.5,55.65
Pennsylvania,"Adams County, PA",2018,916,,
Pennsylvania,"Adams County, PA",2019,892,,
Pennsylvania,"Adams County, PA",,3702,18.1,105.65
Pennsylvania,"Allegheny County, PA",2016,13164,10.74,55.67
Pennsylvania,"Allegheny County, PA",2017,12882,10.53,54.4
Pennsylvania,"Allegheny County, PA",2018,12822,,
Pennsylvania,"Allegheny County, PA",2019,12819,,
Pennsylvania,"Allegheny County, PA",,51687,21.11,109.22
Pennsylvania,"Beaver County, PA",2016,1676,10.01,60.38
Pennsylvania,"Beaver County, PA",2017,1561,9.4,56.81
Pennsylvania,"Beaver County, PA",2018,1575,,
Pennsylvania,"Beaver County, PA",2019,1542,,
Pennsylvania,"Beaver County, PA",,6354,19.05,115.04
Pennsylvania,"Berks County, PA",2016,4786,11.54,61.71
Pennsylvania,"Berks County, PA",2017,4719,11.29,60.7
Pennsylvania,"Berks County, PA",2018,4602,,
Pennsylvania,"Berks County, PA",2019,4707,,
Pennsylvania,"Berks County, PA",,18814,22.59,121.15
Pennsylvania,"Blair County, PA",2016,1270,10.19,59.49
Pennsylvania,"Blair County, PA",2017,1205,9.76,56.88
Pennsylvania,"Blair County, PA",2018,1206,,
Pennsylvania,"Blair County, PA",2019,1197,,
Pennsylvania,"Blair County, PA",,4878,19.66,114.68
Pennsylvania,"Bucks County, PA",2016,5958,9.51,55.41
Pennsylvania,"Bucks County, PA",2017,5775,9.19,53.57
Pennsylvania,"Bucks County, PA",2018,5714,,
Pennsylvania,"Bucks County, PA",2019,5608,,
Pennsylvania,"Bucks County, PA",,23055,18.37,107.07
Pennsylvania,"Butler County, PA",2016,1833,9.81,56.51
Pennsylvania,"Butler County, PA",2017,1742,9.31,53.71
Pennsylvania,"Butler County, PA",2018,1809,,
Pennsylvania,"Butler County, PA",2019,1645,,
Pennsylvania,"Butler County, PA",,7029,18.8,108.36
Pennsylvania,"Cambria County, PA",2016,1357,10.07,60.65
Pennsylvania,"Cambria County, PA",2017,1271,9.55,57.8
Pennsylvania,"Cambria County, PA",2018,1219,,
Pennsylvania,"Cambria County, PA",2019,1238,,
Pennsylvania,"Cambria County, PA",,5085,18.99,114.63
Pennsylvania,"Centre County, PA",2016,1208,7.48,32.18
Pennsylvania,"Centre County, PA",2017,1171,7.2,31.34
Pennsylvania,"Centre County, PA",2018,1171,,
Pennsylvania,"Centre County, PA",2019,1082,,
Pennsylvania,"Centre County, PA",,4632,14.29,61.84
Pennsylvania,"Chester County, PA",2016,5325,10.31,56.27
Pennsylvania,"Chester County, PA",2017,5323,10.25,55.83
Pennsylvania,"Chester County, PA",2018,5370,,
Pennsylvania,"Chester County, PA",2019,5329,,
Pennsylvania,"Chester County, PA",,21347,20.61,112.37
Pennsylvania,"Cumberland County, PA",2016,2683,10.8,57.85
Pennsylvania,"Cumberland County, PA",2017,2612,10.45,55.89
Pennsylvania,"Cumberland County, PA",2018,2597,,
Pennsylvania,"Cumberland County, PA",2019,2597,,
Pennsylvania,"Cumberland County, PA",,10489,21.04,112.65
Pennsylvania,"Dauphin County, PA",2016,3437,12.56,66.44
Pennsylvania,"Dauphin County, PA",2017,3404,12.35,65.32
Pennsylvania,"Dauphin County, PA",2018,3397,,
Pennsylvania,"Dauphin County, PA",2019,3273,,
Pennsylvania,"Dauphin County, PA",,13511,24.59,130.11
Pennsylvania,"Delaware County, PA",2016,6575,11.67,59.85
Pennsylvania,"Delaware County, PA",2017,6576,11.65,59.72
Pennsylvania,"Delaware County, PA",2018,6453,,
Pennsylvania,"Delaware County, PA",2019,6328,,
Pennsylvania,"Delaware County, PA",,25932,22.99,117.89
Pennsylvania,"Erie County, PA",2016,3064,11.09,58.8
Pennsylvania,"Erie County, PA",2017,2994,10.91,58.23
Pennsylvania,"Erie County, PA",2018,2788,,
Pennsylvania,"Erie County, PA",2019,2782,,
Pennsylvania,"Erie County, PA",,11628,21.11,112.32
Pennsylvania,"Fayette County, PA",2016,1351,10.18,62.01
Pennsylvania,"Fayette County, PA",2017,1296,9.86,60.48
Pennsylvania,"Fayette County, PA",2018,1326,,
Pennsylvania,"Fayette County, PA",2019,1233,,
Pennsylvania,"Fayette County, PA",,5206,19.7,120.46
Pennsylvania,"Franklin County, PA",2016,1875,12.19,68.68
Pennsylvania,"Franklin County, PA",2017,1786,11.58,65.78
Pennsylvania,"Franklin County, PA",2018,1745,,
Pennsylvania,"Franklin County, PA",2019,1745,,
Pennsylvania,"Franklin County, PA",,7151,23.21,131.32
Pennsylvania,"Lackawanna County, PA",2016,2246,10.63,58.45
Pennsylvania,"Lackawanna County, PA",2017,2076,9.85,54.3
Pennsylvania,"Lackawanna County, PA",2018,2033,,
Pennsylvania,"Lackawanna County, PA",2019,2058,,
Pennsylvania,"Lackawanna County, PA",,8413,19.93,109.75
Pennsylvania,"Lancaster County, PA",2016,7000,13,69.35
Pennsylvania,"Lancaster County, PA",2017,7258,13.37,71.55
Pennsylvania,"Lancaster County, PA",2018,6975,,
Pennsylvania,"Lancaster County, PA",2019,6899,,
Pennsylvania,"Lancaster County, PA",,28132,26.01,139.01
Pennsylvania,"Lebanon County, PA",2016,1592,11.46,64.92
Pennsylvania,"Lebanon County, PA",2017,1581,11.31,63.7
Pennsylvania,"Lebanon County, PA",2018,1562,,
Pennsylvania,"Lebanon County, PA",2019,1595,,
Pennsylvania,"Lebanon County, PA",,6330,22.72,128.29
Pennsylvania,"Lehigh County, PA",2016,4253,11.71,61.05
Pennsylvania,"Lehigh County, PA",2017,4291,11.71,60.71
Pennsylvania,"Lehigh County, PA",2018,4352,,
Pennsylvania,"Lehigh County, PA",2019,4282,,
Pennsylvania,"Lehigh County, PA",,17178,23.54,122.4
Pennsylvania,"Luzerne County, PA",2016,3193,10.09,57.95
Pennsylvania,"Luzerne County, PA",2017,3284,10.35,59.39
Pennsylvania,"Luzerne County, PA",2018,3310,,
Pennsylvania,"Luzerne County, PA",2019,3255,,
Pennsylvania,"Luzerne County, PA",,13042,20.58,118.14
Pennsylvania,"Lycoming County, PA",2016,1222,10.6,58.88
Pennsylvania,"Lycoming County, PA",2017,1174,10.31,57.19
Pennsylvania,"Lycoming County, PA",2018,1202,,
Pennsylvania,"Lycoming County, PA",2019,1187,,
Pennsylvania,"Lycoming County, PA",,4785,20.89,115.91
Pennsylvania,"Mercer County, PA",2016,1165,10.32,61.53
Pennsylvania,"Mercer County, PA",2017,1092,9.77,58.47
Pennsylvania,"Mercer County, PA",2018,1078,,
Pennsylvania,"Mercer County, PA",2019,1025,,
Pennsylvania,"Mercer County, PA",,4360,19.41,115.93
Pennsylvania,"Monroe County, PA",2016,1477,8.89,48.48
Pennsylvania,"Monroe County, PA",2017,1537,9.15,49.86
Pennsylvania,"Monroe County, PA",2018,1518,,
Pennsylvania,"Monroe County, PA",2019,1475,,
Pennsylvania,"Monroe County, PA",,6007,17.98,98
Pennsylvania,"Montgomery County, PA",2016,8695,10.58,57.88
Pennsylvania,"Montgomery County, PA",2017,8702,10.53,57.43
Pennsylvania,"Montgomery County, PA",2018,8515,,
Pennsylvania,"Montgomery County, PA",2019,8440,,
Pennsylvania,"Montgomery County, PA",,34352,20.85,113.84
Pennsylvania,"Northampton County, PA",2016,2831,9.37,51.58
Pennsylvania,"Northampton County, PA",2017,2789,9.19,50.54
Pennsylvania,"Northampton County, PA",2018,2909,,
Pennsylvania,"Northampton County, PA",2019,2782,,
Pennsylvania,"Northampton County, PA",,11311,18.67,102.77
Pennsylvania,"Philadelphia County, PA",2016,21506,13.72,59.23
Pennsylvania,"Philadelphia County, PA",2017,21288,13.47,58.38
Pennsylvania,"Philadelphia County, PA",2018,20691,,
Pennsylvania,"Philadelphia County, PA",2019,20511,,
Pennsylvania,"Philadelphia County, PA",,83996,26.68,115.42
Pennsylvania,"Schuylkill County, PA",2016,1367,9.52,60.51
Pennsylvania,"Schuylkill County, PA",2017,1313,9.21,58.89
Pennsylvania,"Schuylkill County, PA",2018,1272,,
Pennsylvania,"Schuylkill County, PA",2019,1325,,
Pennsylvania,"Schuylkill County, PA",,5277,18.44,117.55
Pennsylvania,"Washington County, PA",2016,2044,9.83,57.91
Pennsylvania,"Washington County, PA",2017,1967,9.49,56.04
Pennsylvania,"Washington County, PA",2018,2063,,
Pennsylvania,"Washington County, PA",2019,2026,,
Pennsylvania,"Washington County, PA",,8100,19.5,115.06
Pennsylvania,"Westmoreland County, PA",2016,2939,8.27,52.03
Pennsylvania,"Westmoreland County, PA",2017,2953,8.37,52.92
Pennsylvania,"Westmoreland County, PA",2018,2849,,
Pennsylvania,"Westmoreland County, PA",2019,2962,,
Pennsylvania,"Westmoreland County, PA",,11703,16.53,104.22
Pennsylvania,"York County, PA",2016,4974,11.21,61.93
Pennsylvania,"York County, PA",2017,4933,11.06,61.32
Pennsylvania,"York County, PA",2018,4707,,
Pennsylvania,"York County, PA",2019,4760,,
Pennsylvania,"York County, PA",,19374,21.77,120.51
Pennsylvania,"Unidentified Counties, PA",2016,16421,9.83,59.19
Pennsylvania,"Unidentified Counties, PA",2017,16218,9.76,59.27
Pennsylvania,"Unidentified Counties, PA",2018,15927,1.24,6.68
Pennsylvania,"Unidentified Counties, PA",2019,15631,1.22,6.56
Pennsylvania,"Unidentified Counties, PA",,64197,2.22,12.07
Pennsylvania,,,547057,10.68,57.38
Rhode Island,"Kent County, RI",2016,1565,9.51,53.82
Rhode Island,"Kent County, RI",2017,1552,9.48,53.57
Rhode Island,"Kent County, RI",2018,1502,,
Rhode Island,"Kent County, RI",2019,1450,,
Rhode Island,"Kent County, RI",,6069,18.48,104.54
Rhode Island,"Providence County, RI",2016,7275,11.48,54.8
Rhode Island,"Providence County, RI",2017,7173,11.25,53.71
Rhode Island,"Providence County, RI",2018,7119,,
Rhode Island,"Providence County, RI",2019,6956,,
Rhode Island,"Providence County, RI",,28523,22.44,107.1
Rhode Island,"Washington County, RI",2016,929,7.36,39.4
Rhode Island,"Washington County, RI",2017,852,6.75,36.22
Rhode Island,"Washington County, RI",2018,870,,
Rhode Island,"Washington County, RI",2019,821,,
Rhode Island,"Washington County, RI",,3472,13.75,73.71
Rhode Island,"Unidentified Counties, RI",2016,1029,7.8,44.57
Rhode Island,"Unidentified Counties, RI",2017,1061,8.02,46.09
Rhode Island,"Unidentified Counties, RI",2018,1015,0.96,4.88
Rhode Island,"Unidentified Counties, RI",2019,948,0.89,4.55
Rhode Island,"Unidentified Counties, RI",,4053,1.7,8.76
Rhode Island,,,42117,9.95,50.5
South Carolina,"Aiken County, SC",2016,1965,11.73,64.18
South Carolina,"Aiken County, SC",2017,1860,11.06,60.5
South Carolina,"Aiken County, SC",2018,1897,,
South Carolina,"Aiken County, SC",2019,1803,,
South Carolina,"Aiken County, SC",,7525,22.42,122.64
South Carolina,"Anderson County, SC",2016,2318,11.79,63.57
South Carolina,"Anderson County, SC",2017,2298,11.56,62.34
South Carolina,"Anderson County, SC",2018,2256,,
South Carolina,"Anderson County, SC",2019,2172,,
South Carolina,"Anderson County, SC",,9044,22.88,123.34
South Carolina,"Beaufort County, SC",2016,1958,10.69,66.7
South Carolina,"Beaufort County, SC",2017,2012,10.77,67.75
South Carolina,"Beaufort County, SC",2018,1912,,
South Carolina,"Beaufort County, SC",2019,1871,,
South Carolina,"Beaufort County, SC",,7753,20.95,131.28
South Carolina,"Berkeley County, SC",2016,2754,13.06,64.85
South Carolina,"Berkeley County, SC",2017,2697,12.38,61.82
South Carolina,"Berkeley County, SC",2018,2801,,
South Carolina,"Berkeley County, SC",2019,2869,,
South Carolina,"Berkeley County, SC",,11121,25.93,129.17
South Carolina,"Charleston County, SC",2016,5015,12.65,59.85
South Carolina,"Charleston County, SC",2017,4803,11.96,57.05
South Carolina,"Charleston County, SC",2018,4861,,
South Carolina,"Charleston County, SC",2019,4966,,
South Carolina,"Charleston County, SC",,19645,24.62,116.95
South Carolina,"Dorchester County, SC",2016,1800,11.71,57.72
South Carolina,"Dorchester County, SC",2017,1861,11.89,58.72
South Carolina,"Dorchester County, SC",2018,1843,,
South Carolina,"Dorchester County, SC",2019,1859,,
South Carolina,"Dorchester County, SC",,7363,23.73,117.1
South Carolina,"Florence County, SC",2016,1657,11.94,59.24
South Carolina,"Florence County, SC",2017,1695,12.23,61.07
South Carolina,"Florence County, SC",2018,1616,,
South Carolina,"Florence County, SC",2019,1624,,
South Carolina,"Florence County, SC",,6592,23.77,118.29
South Carolina,"Greenville County, SC",2016,6298,12.63,63.32
South Carolina,"Greenville County, SC",2017,6409,12.65,63.54
South Carolina,"Greenville County, SC",2018,6225,,
South Carolina,"Greenville County, SC",2019,6261,,
South Carolina,"Greenville County, SC",,25193,25.05,125.76
South Carolina,"Horry County, SC",2016,3118,9.67,55.85
South Carolina,"Horry County, SC",2017,3167,9.5,55.83
South Carolina,"Horry County, SC",2018,3153,,
South Carolina,"Horry County, SC",2019,3154,,
South Carolina,"Horry County, SC",,12592,19.21,111.87
South Carolina,"Lexington County, SC",2016,3264,11.4,58.97
South Carolina,"Lexington County, SC",2017,3210,11.04,57.24
South Carolina,"Lexington County, SC",2018,3224,,
South Carolina,"Lexington County, SC",2019,3195,,
South Carolina,"Lexington County, SC",,12893,22.35,115.71
South Carolina,"Pickens County, SC",2016,1225,9.97,47.59
South Carolina,"Pickens County, SC",2017,1169,9.47,45.25
South Carolina,"Pickens County, SC",2018,1145,,
South Carolina,"Pickens County, SC",2019,1286,,
South Carolina,"Pickens County, SC",,4825,19.59,93.55
South Carolina,"Richland County, SC",2016,4810,11.74,50.6
South Carolina,"Richland County, SC",2017,4646,11.29,48.63
South Carolina,"Richland County, SC",2018,4693,,
South Carolina,"Richland County, SC",2019,4841,,
South Carolina,"Richland County, SC",,18990,23.13,99.63
South Carolina,"Spartanburg County, SC",2016,3690,12.24,62.68
South Carolina,"Spartanburg County, SC",2017,3820,12.45,63.75
South Carolina,"Spartanburg County, SC",2018,3855,,
South Carolina,"Spartanburg County, SC",2019,3999,,
South Carolina,"Spartanburg County, SC",,15364,25.26,129.34
South Carolina,"Sumter County, SC",2016,1375,12.8,65.95
South Carolina,"Sumter County, SC",2017,1386,12.97,67.01
South Carolina,"Sumter County, SC",2018,1346,,
South Carolina,"Sumter County, SC",2019,1413,,
South Carolina,"Sumter County, SC",,5520,25.77,132.92
South Carolina,"York County, SC",2016,3011,11.65,57.72
South Carolina,"York County, SC",2017,2958,11.1,55.34
South Carolina,"York County, SC",2018,2921,,
South Carolina,"York County, SC",2019,2982,,
South Carolina,"York County, SC",,11872,22.61,112.41
South Carolina,"Unidentified Counties, SC",2016,13084,10.84,61.53
South Carolina,"Unidentified Counties, SC",2017,13038,10.77,61.49
South Carolina,"Unidentified Counties, SC",2018,12921,2.54,13.26
South Carolina,"Unidentified Counties, SC",2019,12743,2.47,12.95
South Carolina,"Unidentified Counties, SC",,51786,4.09,21.73
South Carolina,,,228078,11.28,58.75
South Dakota,"Minnehaha County, SD",2016,2937,15.68,79.13
South Dakota,"Minnehaha County, SD",2017,2911,15.43,77.69
South Dakota,"Minnehaha County, SD",2018,2891,,
South Dakota,"Minnehaha County, SD",2019,2789,,
South Dakota,"Minnehaha County, SD",,11528,30.66,154.56
South Dakota,"Pennington County, SD",2016,1471,13.45,75.56
South Dakota,"Pennington County, SD",2017,1468,13.33,74.91
South Dakota,"Pennington County, SD",2018,1542,,
South Dakota,"Pennington County, SD",2019,1451,,
South Dakota,"Pennington County, SD",,5932,27.02,151.84
South Dakota,"Unidentified Counties, SD",2016,7867,13.83,77.52
South Dakota,"Unidentified Counties, SD",2017,7755,13.58,76.17
South Dakota,"Unidentified Counties, SD",2018,7460,8.46,46.17
South Dakota,"Unidentified Counties, SD",2019,7209,8.15,44.48
South Dakota,"Unidentified Counties, SD",,30291,10.42,57.48
South Dakota,,,47751,13.64,74.54
Tennessee,"Blount County, TN",2016,1229,9.55,54.29
Tennessee,"Blount County, TN",2017,1220,9.39,53.58
Tennessee,"Blount County, TN",2018,1306,,
Tennessee,"Blount County, TN",2019,1240,,
Tennessee,"Blount County, TN",,4995,19.32,110.01
Tennessee,"Davidson County, TN",2016,10023,14.64,61.83
Tennessee,"Davidson County, TN",2017,10063,14.56,61.35
Tennessee,"Davidson County, TN",2018,9984,,
Tennessee,"Davidson County, TN",2019,10004,,
Tennessee,"Davidson County, TN",,40074,29.13,122.88
Tennessee,"Hamilton County, TN",2016,4293,12,60.77
Tennessee,"Hamilton County, TN",2017,4235,11.71,59.4
Tennessee,"Hamilton County, TN",2018,4249,,
Tennessee,"Hamilton County, TN",2019,4289,,
Tennessee,"Hamilton County, TN",,17066,23.72,120.24
Tennessee,"Knox County, TN",2016,5272,11.56,55.4
Tennessee,"Knox County, TN",2017,5211,11.28,54.01
Tennessee,"Knox County, TN",2018,5156,,
Tennessee,"Knox County, TN",2019,5125,,
Tennessee,"Knox County, TN",,20764,22.62,108.35
Tennessee,"Montgomery County, TN",2016,3443,17.59,76.4
Tennessee,"Montgomery County, TN",2017,3382,16.89,73.08
Tennessee,"Montgomery County, TN",2018,3513,,
Tennessee,"Montgomery County, TN",2019,3492,,
Tennessee,"Montgomery County, TN",,13830,34.93,151.41
Tennessee,"Rutherford County, TN",2016,4130,13.4,58.68
Tennessee,"Rutherford County, TN",2017,4030,12.71,55.75
Tennessee,"Rutherford County, TN",2018,4148,,
Tennessee,"Rutherford County, TN",2019,4230,,
Tennessee,"Rutherford County, TN",,16538,26.44,115.92
Tennessee,"Shelby County, TN",2016,13234,14.16,67.26
Tennessee,"Shelby County, TN",2017,13163,14.05,67.12
Tennessee,"Shelby County, TN",2018,13124,,
Tennessee,"Shelby County, TN",2019,12806,,
Tennessee,"Shelby County, TN",,52327,27.96,133.19
Tennessee,"Sullivan County, TN",2016,1492,9.52,56.02
Tennessee,"Sullivan County, TN",2017,1539,9.79,58.17
Tennessee,"Sullivan County, TN",2018,1506,,
Tennessee,"Sullivan County, TN",2019,1475,,
Tennessee,"Sullivan County, TN",,6012,19.16,113.24
Tennessee,"Sumner County, TN",2016,2053,11.4,60.33
Tennessee,"Sumner County, TN",2017,2193,11.95,63.04
Tennessee,"Sumner County, TN",2018,2150,,
Tennessee,"Sumner County, TN",2019,2119,,
Tennessee,"Sumner County, TN",,8515,23.42,123.73
Tennessee,"Washington County, TN",2016,1292,10.14,50.26
Tennessee,"Washington County, TN",2017,1236,9.67,48.1
Tennessee,"Washington County, TN",2018,1247,,
Tennessee,"Washington County, TN",2019,1221,,
Tennessee,"Washington County, TN",,4996,19.57,97.19
Tennessee,"Williamson County, TN",2016,2270,10.36,55.75
Tennessee,"Williamson County, TN",2017,2401,10.61,56.98
Tennessee,"Williamson County, TN",2018,2322,,
Tennessee,"Williamson County, TN",2019,2228,,
Tennessee,"Williamson County, TN",,9221,20.7,111.29
Tennessee,"Wilson County, TN",2016,1527,11.5,61.11
Tennessee,"Wilson County, TN",2017,1567,11.48,61.25
Tennessee,"Wilson County, TN",2018,1651,,
Tennessee,"Wilson County, TN",2019,1634,,
Tennessee,"Wilson County, TN",,6379,23.69,126.14
Tennessee,"Unidentified Counties, TN",2016,30549,11.03,62.58
Tennessee,"Unidentified Counties, TN",2017,30776,11.05,62.98
Tennessee,"Unidentified Counties, TN",2018,30395,4.49,22.99
Tennessee,"Unidentified Counties, TN",2019,30587,4.48,22.93
Tennessee,"Unidentified Counties, TN",,122307,6.39,33.67
Tennessee,,,323024,11.98,61.28
Texas,"Bell County, TX",2016,6140,18.04,81.98
Texas,"Bell County, TX",2017,5976,17.18,78.3
Texas,"Bell County, TX",2018,5889,,
Texas,"Bell County, TX",2019,6160,,
Texas,"Bell County, TX",,24165,35.11,159.8
Texas,"Bexar County, TX",2016,27968,14.5,67.2
Texas,"Bexar County, TX",2017,27014,13.79,63.92
Texas,"Bexar County, TX",2018,26562,,
Texas,"Bexar County, TX",2019,26101,,
Texas,"Bexar County, TX",,107645,27.69,128.34
Texas,"Brazoria County, TX",2016,4800,13.55,67.6
Texas,"Brazoria County, TX",2017,4630,12.77,63.6
Texas,"Brazoria County, TX",2018,4734,,
Texas,"Brazoria County, TX",2019,4759,,
Texas,"Brazoria County, TX",,18923,26.4,131.59
Texas,"Brazos County, TX",2016,2771,12.57,46.19
Texas,"Brazos County, TX",2017,2692,12.08,44.7
Texas,"Brazos County, TX",2018,2584,,
Texas,"Brazos County, TX",2019,2648,,
Texas,"Brazos County, TX",,10695,24.13,88.96
Texas,"Cameron County, TX",2016,6893,16.33,80.33
Texas,"Cameron County, TX",2017,6276,14.81,73.02
Texas,"Cameron County, TX",2018,6306,,
Texas,"Cameron County, TX",2019,6131,,
Texas,"Cameron County, TX",,25606,30.27,149.08
Texas,"Collin County, TX",2016,11086,11.8,56.24
Texas,"Collin County, TX",2017,10919,11.26,53.86
Texas,"Collin County, TX",2018,11147,,
Texas,"Collin County, TX",2019,11524,,
Texas,"Collin County, TX",,44676,23.4,111.74
Texas,"Comal County, TX",2016,1448,10.74,62.34
Texas,"Comal County, TX",2017,1480,10.5,60.68
