state,year,race,births
Montana,2017,White,9861
Montana,2017,More than one race,404
Nebraska,2017,American Indian or Alaska Native,485
Nebraska,2017,Asian,958
Nebraska,2017,Black or African American,1956
Nebraska,2017,Native Hawaiian or Other Pacific Islander,41
Nebraska,2017,White,21661
Nebraska,2017,More than one race,720
Nevada,2017,American Indian or Alaska Native,405
Nevada,2017,Asian,2901
Nevada,2017,Black or African American,4902
Nevada,2017,Native Hawaiian or Other Pacific Islander,367
Nevada,2017,White,25474
Nevada,2017,More than one race,1707
New Hampshire,2017,American Indian or Alaska Native,21
New Hampshire,2017,Asian,496
New Hampshire,2017,Black or African American,296
New Hampshire,2017,White,11154
New Hampshire,2017,More than one race,143
New Jersey,2017,American Indian or Alaska Native,152
New Jersey,2017,Asian,13144
New Jersey,2017,Black or African American,17153
New Jersey,2017,Native Hawaiian or Other Pacific Islander,102
New Jersey,2017,White,69260
New Jersey,2017,More than one race,1439
New Mexico,2017,American Indian or Alaska Native,2931
New Mexico,2017,Asian,452
New Mexico,2017,Black or African American,533
New Mexico,2017,Native Hawaiian or Other Pacific Islander,21
New Mexico,2017,White,19371
New Mexico,2017,More than one race,459
New York,2017,American Indian or Alaska Native,550
New York,2017,Asian,28284
New York,2017,Black or African American,42812
New York,2017,Native Hawaiian or Other Pacific Islander,115
New York,2017,White,153329
New York,2017,More than one race,4647
North Carolina,2017,American Indian or Alaska Native,1758
North Carolina,2017,Asian,5745
North Carolina,2017,Black or African American,32351
North Carolina,2017,Native Hawaiian or Other Pacific Islander,297
North Carolina,2017,White,76900
North Carolina,2017,More than one race,3074
North Dakota,2017,American Indian or Alaska Native,884
North Dakota,2017,Asian,309
North Dakota,2017,Black or African American,688
North Dakota,2017,Native Hawaiian or Other Pacific Islander,42
North Dakota,2017,White,8458
North Dakota,2017,More than one race,356
Ohio,2017,American Indian or Alaska Native,153
Ohio,2017,Asian,4552
Ohio,2017,Black or African American,23468
Ohio,2017,Native Hawaiian or Other Pacific Islander,84
Ohio,2017,White,104917
Ohio,2017,More than one race,3658
Oklahoma,2017,American Indian or Alaska Native,5092
Oklahoma,2017,Asian,1441
Oklahoma,2017,Black or African American,4537
Oklahoma,2017,Native Hawaiian or Other Pacific Islander,250
Oklahoma,2017,White,35258
Oklahoma,2017,More than one race,3636
Oregon,2017,American Indian or Alaska Native,600
Oregon,2017,Asian,2519
Oregon,2017,Black or African American,1143
Oregon,2017,Native Hawaiian or Other Pacific Islander,335
Oregon,2017,White,37084
Oregon,2017,More than one race,1950
Pennsylvania,2017,American Indian or Alaska Native,212
Pennsylvania,2017,Asian,7092
Pennsylvania,2017,Black or African American,21805
Pennsylvania,2017,Native Hawaiian or Other Pacific Islander,176
Pennsylvania,2017,White,104695
Pennsylvania,2017,More than one race,3765
Rhode Island,2017,American Indian or Alaska Native,94
Rhode Island,2017,Asian,660
Rhode Island,2017,Black or African American,1165
Rhode Island,2017,Native Hawaiian or Other Pacific Islander,18
Rhode Island,2017,White,8364
Rhode Island,2017,More than one race,337
South Carolina,2017,American Indian or Alaska Native,174
South Carolina,2017,Asian,1220
South Carolina,2017,Black or African American,18155
South Carolina,2017,Native Hawaiian or Other Pacific Islander,67
South Carolina,2017,White,36081
South Carolina,2017,More than one race,1332
South Dakota,2017,American Indian or Alaska Native,1880
South Dakota,2017,Asian,255
South Dakota,2017,Black or African American,416
South Dakota,2017,Native Hawaiian or Other Pacific Islander,12
South Dakota,2017,White,9126
South Dakota,2017,More than one race,445
Tennessee,2017,American Indian or Alaska Native,137
Tennessee,2017,Asian,2078
Tennessee,2017,Black or African American,17537
Tennessee,2017,Native Hawaiian or Other Pacific Islander,111
Tennessee,2017,White,59663
Tennessee,2017,More than one race,1490
Texas,2017,American Indian or Alaska Native,1010
Texas,2017,Asian,22323
Texas,2017,Black or African American,54754
Texas,2017,Native Hawaiian or Other Pacific Islander,666
Texas,2017,White,298596
Texas,2017,More than one race,4701
Utah,2017,American Indian or Alaska Native,535
Utah,2017,Asian,1316
Utah,2017,Black or African American,677
Utah,2017,Native Hawaiian or Other Pacific Islander,524
Utah,2017,White,44305
Utah,2017,More than one race,1228
Vermont,2017,American Indian or Alaska Native,17
Vermont,2017,Asian,169
Vermont,2017,Black or African American,127
Vermont,2017,White,5274
Vermont,2017,More than one race,65
Virginia,2017,American Indian or Alaska Native,195
Virginia,2017,Asian,8695
Virginia,2017,Black or African American,23055
Virginia,2017,Native Hawaiian or Other Pacific Islander,227
Virginia,2017,White,66479
Virginia,2017,More than one race,1740
Washington,2017,American Indian or Alaska Native,1660
Washington,2017,Asian,9869
Washington,2017,Black or African American,4980
Washington,2017,Native Hawaiian or Other Pacific Islander,1395
Washington,2017,White,65615
Washington,2017,More than one race,4043
West Virginia,2017,American Indian or Alaska Native,20
West Virginia,2017,Asian,216
West Virginia,2017,Black or African American,661
West Virginia,2017,Native Hawaiian or Other Pacific Islander,14
West Virginia,2017,White,17378
West Virginia,2017,More than one race,386
Wisconsin,2017,American Indian or Alaska Native,845
Wisconsin,2017,Asian,3114
Wisconsin,2017,Black or African American,7148
Wisconsin,2017,Native Hawaiian or Other Pacific Islander,35
Wisconsin,2017,White,52316
Wisconsin,2017,More than one race,1517
Wyoming,2017,American Indian or Alaska Native,249
Wyoming,2017,Asian,97
Wyoming,2017,Black or African American,71
Wyoming,2017,White,6306
Wyoming,2017,More than one race,171
